trial_id,lambda_id,lambda,optimal_net_value,optimal_masks,optimal_library_ids,optimal_burdens,operational_values,generative_values,total_values,optimizer_count,enumeration_certificate
204,L025,1//4,29593//2048,25,base_1;closure_carrier;frontier_addition;inactive,7//1,2975//256,9377//2048,33177//2048,1,complete-enumeration:32
204,L050,1//2,26009//2048,25,base_1;closure_carrier;frontier_addition;inactive,7//1,2975//256,9377//2048,33177//2048,1,complete-enumeration:32
204,L100,1//1,1925659//196608,24,closure_carrier;frontier_addition;inactive,3//1,4025//384,151561//65536,2515483//196608,1,complete-enumeration:32
204,L200,2//1,3257//384,16,frontier_addition;inactive,1//1,4025//384,0//1,4025//384,1,complete-enumeration:32
204,L400,4//1,2489//384,16,frontier_addition;inactive,1//1,4025//384,0//1,4025//384,1,complete-enumeration:32
205,L0,0//1,1096649//49152,29;31,base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,12//1;16//1,875//48,66883//16384,1096649//49152,2,complete-enumeration:32
205,L025,1//4,949193//49152,29,base_1;base_3;closure_carrier;frontier_addition;inactive,12//1,875//48,66883//16384,1096649//49152,1,complete-enumeration:32
205,L050,1//2,801737//49152,29,base_1;base_3;closure_carrier;frontier_addition;inactive,12//1,875//48,66883//16384,1096649//49152,1,complete-enumeration:32
205,L100,1//1,90991//8192,24,closure_carrier;frontier_addition;inactive,4//1,1225//128,45359//8192,123759//8192,1,complete-enumeration:32
205,L200,2//1,5639//768,16,frontier_addition;inactive,1//1,7175//768,0//1,7175//768,1,complete-enumeration:32
205,L400,4//1,4103//768,16,frontier_addition;inactive,1//1,7175//768,0//1,7175//768,1,complete-enumeration:32
206,L0,0//1,1575//128,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,3//1;5//1;7//1;9//1,1575//128,0//1,1575//128,8,complete-enumeration:32
206,L025,1//4,1479//128,17,base_1;frontier_addition;inactive,3//1,1575//128,0//1,1575//128,1,complete-enumeration:32
206,L050,1//2,1383//128,17,base_1;frontier_addition;inactive,3//1,1575//128,0//1,1575//128,1,complete-enumeration:32
206,L100,1//1,3641//384,16,frontier_addition;inactive,1//1,4025//384,0//1,4025//384,1,complete-enumeration:32
206,L200,2//1,3257//384,16,frontier_addition;inactive,1//1,4025//384,0//1,4025//384,1,complete-enumeration:32
206,L400,4//1,2489//384,16,frontier_addition;inactive,1//1,4025//384,0//1,4025//384,1,complete-enumeration:32
207,L0,0//1,4375//384,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1;11//1;13//1;15//1,4375//384,0//1,4375//384,8,complete-enumeration:32
207,L025,1//4,3895//384,17,base_1;frontier_addition;inactive,5//1,4375//384,0//1,4375//384,1,complete-enumeration:32
207,L050,1//2,2497//256,16,frontier_addition;inactive,1//1,2625//256,0//1,2625//256,1,complete-enumeration:32
207,L100,1//1,2369//256,16,frontier_addition;inactive,1//1,2625//256,0//1,2625//256,1,complete-enumeration:32
207,L200,2//1,2113//256,16,frontier_addition;inactive,1//1,2625//256,0//1,2625//256,1,complete-enumeration:32
207,L400,4//1,1601//256,16,frontier_addition;inactive,1//1,2625//256,0//1,2625//256,1,complete-enumeration:32
208,L0,0//1,1599//128,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,7//1;11//1;15//1,2975//256,223//256,1599//128,4,complete-enumeration:32
208,L025,1//4,1375//128,25,base_1;closure_carrier;frontier_addition;inactive,7//1,2975//256,223//256,1599//128,1,complete-enumeration:32
208,L050,1//2,7141//768,16,frontier_addition;inactive,1//1,7525//768,0//1,7525//768,1,complete-enumeration:32
208,L100,1//1,6757//768,16,frontier_addition;inactive,1//1,7525//768,0//1,7525//768,1,complete-enumeration:32
208,L200,2//1,5989//768,16,frontier_addition;inactive,1//1,7525//768,0//1,7525//768,1,complete-enumeration:32
208,L400,4//1,4453//768,16,frontier_addition;inactive,1//1,7525//768,0//1,7525//768,1,complete-enumeration:32
209,L0,0//1,9275//768,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1;11//1;13//1;15//1,9275//768,0//1,9275//768,8,complete-enumeration:32
209,L025,1//4,8315//768,17,base_1;frontier_addition;inactive,5//1,9275//768,0//1,9275//768,1,complete-enumeration:32
209,L050,1//2,7355//768,17,base_1;frontier_addition;inactive,5//1,9275//768,0//1,9275//768,1,complete-enumeration:32
209,L100,1//1,1733//192,16,frontier_addition;inactive,1//1,1925//192,0//1,1925//192,1,complete-enumeration:32
209,L200,2//1,1541//192,16,frontier_addition;inactive,1//1,1925//192,0//1,1925//192,1,complete-enumeration:32
209,L400,4//1,1157//192,16,frontier_addition;inactive,1//1,1925//192,0//1,1925//192,1,complete-enumeration:32
210,L0,0//1,112199//6144,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6//1;8//1;10//1,2275//192,13133//2048,112199//6144,4,complete-enumeration:32
210,L025,1//4,102983//6144,25,base_1;closure_carrier;frontier_addition;inactive,6//1,2275//192,13133//2048,112199//6144,1,complete-enumeration:32
210,L050,1//2,93767//6144,25,base_1;closure_carrier;frontier_addition;inactive,6//1,2275//192,13133//2048,112199//6144,1,complete-enumeration:32
210,L100,1//1,75335//6144,25,base_1;closure_carrier;frontier_addition;inactive,6//1,2275//192,13133//2048,112199//6144,1,complete-enumeration:32
210,L200,2//1,2113//256,16,frontier_addition;inactive,1//1,2625//256,0//1,2625//256,1,complete-enumeration:32
210,L400,4//1,1601//256,16,frontier_addition;inactive,1//1,2625//256,0//1,2625//256,1,complete-enumeration:32
211,L0,0//1,149//8,29;31,base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,8//1;10//1,4725//256,43//256,149//8,2,complete-enumeration:32
211,L025,1//4,4405//256,21,base_1;base_3;frontier_addition;inactive,5//1,4725//256,0//1,4725//256,1,complete-enumeration:32
211,L050,1//2,4085//256,21,base_1;base_3;frontier_addition;inactive,5//1,4725//256,0//1,4725//256,1,complete-enumeration:32
211,L100,1//1,3445//256,21,base_1;base_3;frontier_addition;inactive,5//1,4725//256,0//1,4725//256,1,complete-enumeration:32
211,L200,2//1,2165//256,21,base_1;base_3;frontier_addition;inactive,5//1,4725//256,0//1,4725//256,1,complete-enumeration:32
211,L400,4//1,491//96,16,frontier_addition;inactive,1//1,875//96,0//1,875//96,1,complete-enumeration:32
212,L0,0//1,875//48,19;23;27;31,base_1;base_2;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,9//1;12//1;13//1;16//1,875//48,0//1,875//48,4,complete-enumeration:32
212,L025,1//4,767//48,19,base_1;base_2;frontier_addition;inactive,9//1,875//48,0//1,875//48,1,complete-enumeration:32
212,L050,1//2,659//48,19,base_1;base_2;frontier_addition;inactive,9//1,875//48,0//1,875//48,1,complete-enumeration:32
212,L100,1//1,115//12,17,base_1;frontier_addition;inactive,5//1,175//12,0//1,175//12,1,complete-enumeration:32
212,L200,2//1,969//128,16,frontier_addition;inactive,1//1,1225//128,0//1,1225//128,1,complete-enumeration:32
212,L400,4//1,713//128,16,frontier_addition;inactive,1//1,1225//128,0//1,1225//128,1,complete-enumeration:32
213,L0,0//1,4725//256,22;23;30;31,base_2;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_2;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,9//1;11//1;13//1;15//1,4725//256,0//1,4725//256,4,complete-enumeration:32
213,L025,1//4,4149//256,22,base_2;base_3;frontier_addition;inactive,9//1,4725//256,0//1,4725//256,1,complete-enumeration:32
213,L050,1//2,3573//256,22,base_2;base_3;frontier_addition;inactive,9//1,4725//256,0//1,4725//256,1,complete-enumeration:32
213,L100,1//1,115//12,20,base_3;frontier_addition;inactive,5//1,175//12,0//1,175//12,1,complete-enumeration:32
213,L200,2//1,2557//384,16,frontier_addition;inactive,1//1,3325//384,0//1,3325//384,1,complete-enumeration:32
213,L400,4//1,1789//384,16,frontier_addition;inactive,1//1,3325//384,0//1,3325//384,1,complete-enumeration:32
214,L0,0//1,13825//768,19;23;27;31,base_1;base_2;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;8//1;10//1,13825//768,0//1,13825//768,4,complete-enumeration:32
214,L025,1//4,12865//768,19,base_1;base_2;frontier_addition;inactive,5//1,13825//768,0//1,13825//768,1,complete-enumeration:32
214,L050,1//2,11905//768,19,base_1;base_2;frontier_addition;inactive,5//1,13825//768,0//1,13825//768,1,complete-enumeration:32
214,L100,1//1,9985//768,19,base_1;base_2;frontier_addition;inactive,5//1,13825//768,0//1,13825//768,1,complete-enumeration:32
214,L200,2//1,2139//256,17,base_1;frontier_addition;inactive,3//1,3675//256,0//1,3675//256,1,complete-enumeration:32
214,L400,4//1,1251//256,16,frontier_addition;inactive,1//1,2275//256,0//1,2275//256,1,complete-enumeration:32
215,L0,0//1,2275//192,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,3//1;5//1;7//1;9//1,2275//192,0//1,2275//192,8,complete-enumeration:32
215,L025,1//4,2131//192,17,base_1;frontier_addition;inactive,3//1,2275//192,0//1,2275//192,1,complete-enumeration:32
215,L050,1//2,1987//192,17,base_1;frontier_addition;inactive,3//1,2275//192,0//1,2275//192,1,complete-enumeration:32
215,L100,1//1,1699//192,17,base_1;frontier_addition;inactive,3//1,2275//192,0//1,2275//192,1,complete-enumeration:32
215,L200,2//1,5989//768,16,frontier_addition;inactive,1//1,7525//768,0//1,7525//768,1,complete-enumeration:32
215,L400,4//1,4453//768,16,frontier_addition;inactive,1//1,7525//768,0//1,7525//768,1,complete-enumeration:32
216,L0,0//1,9275//768,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1;11//1;13//1;15//1,9275//768,0//1,9275//768,8,complete-enumeration:32
216,L025,1//4,8315//768,17,base_1;frontier_addition;inactive,5//1,9275//768,0//1,9275//768,1,complete-enumeration:32
216,L050,1//2,2497//256,16,frontier_addition;inactive,1//1,2625//256,0//1,2625//256,1,complete-enumeration:32
216,L100,1//1,2369//256,16,frontier_addition;inactive,1//1,2625//256,0//1,2625//256,1,complete-enumeration:32
216,L200,2//1,2113//256,16,frontier_addition;inactive,1//1,2625//256,0//1,2625//256,1,complete-enumeration:32
216,L400,4//1,1601//256,16,frontier_addition;inactive,1//1,2625//256,0//1,2625//256,1,complete-enumeration:32
217,L0,0//1,9275//768,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,3//1;5//1;7//1;9//1,9275//768,0//1,9275//768,8,complete-enumeration:32
217,L025,1//4,8699//768,17,base_1;frontier_addition;inactive,3//1,9275//768,0//1,9275//768,1,complete-enumeration:32
217,L050,1//2,8123//768,17,base_1;frontier_addition;inactive,3//1,9275//768,0//1,9275//768,1,complete-enumeration:32
217,L100,1//1,2369//256,16,frontier_addition;inactive,1//1,2625//256,0//1,2625//256,1,complete-enumeration:32
217,L200,2//1,2113//256,16,frontier_addition;inactive,1//1,2625//256,0//1,2625//256,1,complete-enumeration:32
217,L400,4//1,1601//256,16,frontier_addition;inactive,1//1,2625//256,0//1,2625//256,1,complete-enumeration:32
218,L0,0//1,113599//6144,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,8//1;12//1;16//1,9275//768,13133//2048,113599//6144,4,complete-enumeration:32
218,L025,1//4,101311//6144,25,base_1;closure_carrier;frontier_addition;inactive,8//1,9275//768,13133//2048,113599//6144,1,complete-enumeration:32
218,L050,1//2,89023//6144,25,base_1;closure_carrier;frontier_addition;inactive,8//1,9275//768,13133//2048,113599//6144,1,complete-enumeration:32
218,L100,1//1,266837//24576,24,closure_carrier;frontier_addition;inactive,4//1,7525//768,41447//8192,365141//24576,1,complete-enumeration:32
218,L200,2//1,5989//768,16,frontier_addition;inactive,1//1,7525//768,0//1,7525//768,1,complete-enumeration:32
218,L400,4//1,4453//768,16,frontier_addition;inactive,1//1,7525//768,0//1,7525//768,1,complete-enumeration:32
219,L0,0//1,7175//384,21;23;29;31,base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,9//1;12//1;13//1;16//1,7175//384,0//1,7175//384,4,complete-enumeration:32
219,L025,1//4,6311//384,21,base_1;base_3;frontier_addition;inactive,9//1,7175//384,0//1,7175//384,1,complete-enumeration:32
219,L050,1//2,5447//384,21,base_1;base_3;frontier_addition;inactive,9//1,7175//384,0//1,7175//384,1,complete-enumeration:32
219,L100,1//1,7885//768,20,base_3;frontier_addition;inactive,5//1,11725//768,0//1,11725//768,1,complete-enumeration:32
219,L200,2//1,1763//256,16,frontier_addition;inactive,1//1,2275//256,0//1,2275//256,1,complete-enumeration:32
219,L400,4//1,1251//256,16,frontier_addition;inactive,1//1,2275//256,0//1,2275//256,1,complete-enumeration:32
220,L0,0//1,80977//4096,30;31,base_2;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,12//1;16//1,2275//128,8177//4096,80977//4096,2,complete-enumeration:32
220,L025,1//4,68689//4096,30,base_2;base_3;closure_carrier;frontier_addition;inactive,12//1,2275//128,8177//4096,80977//4096,1,complete-enumeration:32
220,L050,1//2,56401//4096,30,base_2;base_3;closure_carrier;frontier_addition;inactive,12//1,2275//128,8177//4096,80977//4096,1,complete-enumeration:32
220,L100,1//1,3505//384,18;20,base_2;frontier_addition;inactive|base_3;frontier_addition;inactive,5//1,5425//384,0//1,5425//384,2,complete-enumeration:32
220,L200,2//1,5639//768,16,frontier_addition;inactive,1//1,7175//768,0//1,7175//768,1,complete-enumeration:32
220,L400,4//1,4103//768,16,frontier_addition;inactive,1//1,7175//768,0//1,7175//768,1,complete-enumeration:32
221,L0,0//1,14525//768,22;23;30;31,base_2;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_2;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1,14525//768,0//1,14525//768,4,complete-enumeration:32
221,L025,1//4,13565//768,22,base_2;base_3;frontier_addition;inactive,5//1,14525//768,0//1,14525//768,1,complete-enumeration:32
221,L050,1//2,12605//768,22,base_2;base_3;frontier_addition;inactive,5//1,14525//768,0//1,14525//768,1,complete-enumeration:32
221,L100,1//1,10685//768,22,base_2;base_3;frontier_addition;inactive,5//1,14525//768,0//1,14525//768,1,complete-enumeration:32
221,L200,2//1,7117//768,20,base_3;frontier_addition;inactive,3//1,11725//768,0//1,11725//768,1,complete-enumeration:32
221,L400,4//1,4103//768,16,frontier_addition;inactive,1//1,7175//768,0//1,7175//768,1,complete-enumeration:32
222,L0,0//1,9275//768,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1;11//1;13//1;15//1,9275//768,0//1,9275//768,8,complete-enumeration:32
222,L025,1//4,8315//768,17,base_1;frontier_addition;inactive,5//1,9275//768,0//1,9275//768,1,complete-enumeration:32
222,L050,1//2,7841//768,16,frontier_addition;inactive,1//1,8225//768,0//1,8225//768,1,complete-enumeration:32
222,L100,1//1,7457//768,16,frontier_addition;inactive,1//1,8225//768,0//1,8225//768,1,complete-enumeration:32
222,L200,2//1,6689//768,16,frontier_addition;inactive,1//1,8225//768,0//1,8225//768,1,complete-enumeration:32
222,L400,4//1,5153//768,16,frontier_addition;inactive,1//1,8225//768,0//1,8225//768,1,complete-enumeration:32
223,L0,0//1,1575//128,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,3//1;5//1;6//1;7//1;8//1;10//1,1575//128,0//1,1575//128,8,complete-enumeration:32
223,L025,1//4,1479//128,17,base_1;frontier_addition;inactive,3//1,1575//128,0//1,1575//128,1,complete-enumeration:32
223,L050,1//2,1383//128,17,base_1;frontier_addition;inactive,3//1,1575//128,0//1,1575//128,1,complete-enumeration:32
223,L100,1//1,1191//128,17,base_1;frontier_addition;inactive,3//1,1575//128,0//1,1575//128,1,complete-enumeration:32
223,L200,2//1,5989//768,16,frontier_addition;inactive,1//1,7525//768,0//1,7525//768,1,complete-enumeration:32
223,L400,4//1,4453//768,16,frontier_addition;inactive,1//1,7525//768,0//1,7525//768,1,complete-enumeration:32
224,L0,0//1,13825//768,22;23;30;31,base_2;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_2;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,9//1;11//1;13//1;15//1,13825//768,0//1,13825//768,4,complete-enumeration:32
224,L025,1//4,12097//768,22,base_2;base_3;frontier_addition;inactive,9//1,13825//768,0//1,13825//768,1,complete-enumeration:32
224,L050,1//2,10369//768,22,base_2;base_3;frontier_addition;inactive,9//1,13825//768,0//1,13825//768,1,complete-enumeration:32
224,L100,1//1,3505//384,18;20,base_2;frontier_addition;inactive|base_3;frontier_addition;inactive,5//1,5425//384,0//1,5425//384,2,complete-enumeration:32
224,L200,2//1,4939//768,16,frontier_addition;inactive,1//1,6475//768,0//1,6475//768,1,complete-enumeration:32
224,L400,4//1,3403//768,16,frontier_addition;inactive,1//1,6475//768,0//1,6475//768,1,complete-enumeration:32
225,L0,0//1,100931//6144,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,7//1;11//1;15//1,2275//192,9377//2048,100931//6144,4,complete-enumeration:32
225,L025,1//4,90179//6144,25,base_1;closure_carrier;frontier_addition;inactive,7//1,2275//192,9377//2048,100931//6144,1,complete-enumeration:32
225,L050,1//2,79427//6144,25,base_1;closure_carrier;frontier_addition;inactive,7//1,2275//192,9377//2048,100931//6144,1,complete-enumeration:32
225,L100,1//1,237775//24576,24,closure_carrier;frontier_addition;inactive,3//1,1925//192,21701//8192,311503//24576,1,complete-enumeration:32
225,L200,2//1,1541//192,16,frontier_addition;inactive,1//1,1925//192,0//1,1925//192,1,complete-enumeration:32
225,L400,4//1,1157//192,16,frontier_addition;inactive,1//1,1925//192,0//1,1925//192,1,complete-enumeration:32
226,L0,0//1,99531//8192,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6//1;8//1;10//1,9275//768,1793//24576,99531//8192,4,complete-enumeration:32
226,L025,1//4,8699//768,17,base_1;frontier_addition;inactive,3//1,9275//768,0//1,9275//768,1,complete-enumeration:32
226,L050,1//2,8123//768,17,base_1;frontier_addition;inactive,3//1,9275//768,0//1,9275//768,1,complete-enumeration:32
226,L100,1//1,6971//768,17,base_1;frontier_addition;inactive,3//1,9275//768,0//1,9275//768,1,complete-enumeration:32
226,L200,2//1,1541//192,16,frontier_addition;inactive,1//1,1925//192,0//1,1925//192,1,complete-enumeration:32
226,L400,4//1,1157//192,16,frontier_addition;inactive,1//1,1925//192,0//1,1925//192,1,complete-enumeration:32
227,L0,0//1,13825//768,19;23;27;31,base_1;base_2;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,9//1;12//1;13//1;16//1,13825//768,0//1,13825//768,4,complete-enumeration:32
227,L025,1//4,12097//768,19,base_1;base_2;frontier_addition;inactive,9//1,13825//768,0//1,13825//768,1,complete-enumeration:32
227,L050,1//2,10369//768,19,base_1;base_2;frontier_addition;inactive,9//1,13825//768,0//1,13825//768,1,complete-enumeration:32
227,L100,1//1,2395//256,18,base_2;frontier_addition;inactive,5//1,3675//256,0//1,3675//256,1,complete-enumeration:32
227,L200,2//1,1763//256,16,frontier_addition;inactive,1//1,2275//256,0//1,2275//256,1,complete-enumeration:32
227,L400,4//1,1251//256,16,frontier_addition;inactive,1//1,2275//256,0//1,2275//256,1,complete-enumeration:32
228,L0,0//1,83777//4096,29;31,base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,7//1;9//1,4725//256,8177//4096,83777//4096,2,complete-enumeration:32
228,L025,1//4,76609//4096,29,base_1;base_3;closure_carrier;frontier_addition;inactive,7//1,4725//256,8177//4096,83777//4096,1,complete-enumeration:32
228,L050,1//2,69441//4096,29,base_1;base_3;closure_carrier;frontier_addition;inactive,7//1,4725//256,8177//4096,83777//4096,1,complete-enumeration:32
228,L100,1//1,3445//256,21,base_1;base_3;frontier_addition;inactive,5//1,4725//256,0//1,4725//256,1,complete-enumeration:32
228,L200,2//1,7117//768,20,base_3;frontier_addition;inactive,3//1,11725//768,0//1,11725//768,1,complete-enumeration:32
228,L400,4//1,713//128,16,frontier_addition;inactive,1//1,1225//128,0//1,1225//128,1,complete-enumeration:32
229,L0,0//1,68409//4096,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,8//1;12//1;16//1,2975//256,20809//4096,68409//4096,4,complete-enumeration:32
229,L025,1//4,60217//4096,25,base_1;closure_carrier;frontier_addition;inactive,8//1,2975//256,20809//4096,68409//4096,1,complete-enumeration:32
229,L050,1//2,52025//4096,25,base_1;closure_carrier;frontier_addition;inactive,8//1,2975//256,20809//4096,68409//4096,1,complete-enumeration:32
229,L100,1//1,1733//192,16,frontier_addition;inactive,1//1,1925//192,0//1,1925//192,1,complete-enumeration:32
229,L200,2//1,1541//192,16,frontier_addition;inactive,1//1,1925//192,0//1,1925//192,1,complete-enumeration:32
229,L400,4//1,1157//192,16,frontier_addition;inactive,1//1,1925//192,0//1,1925//192,1,complete-enumeration:32
230,L0,0//1,4725//256,22;23;30;31,base_2;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_2;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1,4725//256,0//1,4725//256,4,complete-enumeration:32
230,L025,1//4,4405//256,22,base_2;base_3;frontier_addition;inactive,5//1,4725//256,0//1,4725//256,1,complete-enumeration:32
230,L050,1//2,4085//256,22,base_2;base_3;frontier_addition;inactive,5//1,4725//256,0//1,4725//256,1,complete-enumeration:32
230,L100,1//1,3445//256,22,base_2;base_3;frontier_addition;inactive,5//1,4725//256,0//1,4725//256,1,complete-enumeration:32
230,L200,2//1,1157//128,18,base_2;frontier_addition;inactive,3//1,1925//128,0//1,1925//128,1,complete-enumeration:32
230,L400,4//1,1789//384,16,frontier_addition;inactive,1//1,3325//384,0//1,3325//384,1,complete-enumeration:32
231,L0,0//1,248531//12288,30;31,base_2;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,7//1;9//1,875//48,8177//4096,248531//12288,2,complete-enumeration:32
231,L025,1//4,227027//12288,30,base_2;base_3;closure_carrier;frontier_addition;inactive,7//1,875//48,8177//4096,248531//12288,1,complete-enumeration:32
231,L050,1//2,205523//12288,30,base_2;base_3;closure_carrier;frontier_addition;inactive,7//1,875//48,8177//4096,248531//12288,1,complete-enumeration:32
231,L100,1//1,635//48,22,base_2;base_3;frontier_addition;inactive,5//1,875//48,0//1,875//48,1,complete-enumeration:32
231,L200,2//1,6767//768,18,base_2;frontier_addition;inactive,3//1,11375//768,0//1,11375//768,1,complete-enumeration:32
231,L400,4//1,1251//256,16,frontier_addition;inactive,1//1,2275//256,0//1,2275//256,1,complete-enumeration:32
232,L0,0//1,7247//384,30;31,base_2;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,11//1;15//1,13825//768,223//256,7247//384,2,complete-enumeration:32
232,L025,1//4,6191//384,30,base_2;base_3;closure_carrier;frontier_addition;inactive,11//1,13825//768,223//256,7247//384,1,complete-enumeration:32
232,L050,1//2,10369//768,22,base_2;base_3;frontier_addition;inactive,9//1,13825//768,0//1,13825//768,1,complete-enumeration:32
232,L100,1//1,115//12,20,base_3;frontier_addition;inactive,5//1,175//12,0//1,175//12,1,complete-enumeration:32
