parameter,registered_value,actual_parameter_value,belief_index,belief_coordinate,total_value,operational_value,generative_value,total_discount_derivative,operational_discount_derivative,generative_discount_derivative,total_scaled_sensitivity,operational_scaled_sensitivity,generative_scaled_sensitivity,innovation_duration,operational_elasticity,generative_elasticity,operational_contribution,generative_contribution,action,alternate_action,winning_q,alternate_q,action_margin,action_tie_distance_linf,policy_iterations,policy_equation_residual,bellman_residual,derivative_residual,value_reconstruction_exact,channel_identity_exact,sensitivity_identity_exact
discount_factor,4//5,4//5,1,0//1,27971295103341259190//3842010443674795399,40885//14116,237762204689121204837925//54233819422913411852284,710236441208244612699817775025310191550//14761044249306198189148052344511569201,1653895525//99630728,46348148661452104825565823058058430197684222875//1470653584598590020497102154865794443918008328,568189152966595690159854220020248153240//14761044249306198189148052344511569201,330779105//24907682,9269629732290420965113164611611686039536844575//367663396149647505124275538716448610979502082,56818915296659569015985422002024815324//10746600791014678324055563239827846681,132311642//28856633,741570378583233677209053168928934883162947566//128947524747035758868393149772745408562610707,254171355191880346627867579//139340024712436244276819516,1853925946458084193022632922322337207907368915//535345830167084130055737839017043479750206884,research:research,continue,27971295103341259190//3842010443674795399,48814618535796685623//7684020887349590798,7127971670885832757//7684020887349590798,7127971670885832757//15368041774699181596,2,0//1,0//1,0//1,true,true,true
discount_factor,4//5,4//5,2,1//4,28699748192594177590//3842010443674795399,48345//14116,219383650587201427295785//54233819422913411852284,712058780941005584820508803022632339550//14761044249306198189148052344511569201,1869498175//99630728,43347189438772728936932452712684610578053984225//1470653584598590020497102154865794443918008328,569647024752804467856407042418105871640//14761044249306198189148052344511569201,373899635//24907682,8669437887754545787386490542536922115610796845//367663396149647505124275538716448610979502082,56964702475280446785640704241810587164//11026473228678366359459768928192090841,149559854//34121901,3467775155101818314954596217014768846244318738//594900664514290704947197348585316076699791147,287305260511238811677155873//142968840292242106092649276,1733887577550909157477298108507384423122159369//549287777522868059121843232513778867165481124,research:research,continue,28699748192594177590//3842010443674795399,203497692659605735651//30736083549398363192,26100292881147685069//30736083549398363192,26100292881147685069//61472167098796726384,2,0//1,0//1,0//1,true,true,true
discount_factor,4//5,4//5,3,1//2,29450275896202668790//3842010443674795399,56475//14116,198742554744262802481115//54233819422913411852284,714075589313032923394801614812429753550//14761044249306198189148052344511569201,1054724125//49815364,20003105925207483280770394145149816519621868075//735326792299295010248551077432897221959004164,571260471450426338715841291849943802840//14761044249306198189148052344511569201,210944825//12453841,4000621185041496656154078829029963303924373615//183831698074823752562137769358224305489751041,57126047145042633871584129184994380284//11314826756231474820968833644101289721,33751172//7972011,3200496948033197324923263063223970643139498892//538928391282441601266452791677594304153980833,162090444137830414470572035//73353810683488108177264478,800124237008299331230815765805992660784874723//281826106729305093231698640318176100160536722,research:research,continue,29450275896202668790//3842010443674795399,106063995424518476405//15368041774699181596,11737108160292198755//15368041774699181596,11737108160292198755//30736083549398363192,2,0//1,0//1,0//1,true,true,true
discount_factor,4//5,4//5,4,3//4,30195587173481415990//3842010443674795399,63905//14116,180717231137825868141745//54233819422913411852284,716012986816038973186343209592954187550//14761044249306198189148052344511569201,2303050075//99630728,37341471068493406537445567491471314089524296325//1470653584598590020497102154865794443918008328,572810389452831178549074567674363350040//14761044249306198189148052344511569201,460610015//24907682,7468294213698681307489113498294262817904859265//367663396149647505124275538716448610979502082,57281038945283117854907456767436335004//11601176127340829619477585789205703001,184244006//45104149,2987317685479472522995645399317705127161943706//490049284006887649365650915854369582275699779,353933697618240832771064197//150420416624070788477727036,1493658842739736261497822699658852563580971853//577916811611593779556257425930509365870707364,research:research,continue,30195587173481415990//3842010443674795399,220665873457816649969//30736083549398363192,20898823930034677951//30736083549398363192,20898823930034677951//61472167098796726384,2,0//1,0//1,0//1,true,true,true
discount_factor,4//5,4//5,5,1//1,30877392967417681590//3842010443674795399,69245//14116,169825265955806785920685//54233819422913411852284,717400674243550143225087501815468119550//14761044249306198189148052344511569201,2406112425//99630728,35958419468345308981598106758896743200784109975//1470653584598590020497102154865794443918008328,573920539394840114580070001452374495640//14761044249306198189148052344511569201,481222485//24907682,7191683893669061796319621351779348640156821995//367663396149647505124275538716448610979502082,57392053939484011458007000145237449564//11863126625426941411915725281817900441,192488994//48873121,2876673557467624718527848540711739456062728798//460513640364773493534297935327874976908004727,123257454206742504918223101//51272285668098398281398292,1438336778733812359263924270355869728031364399//590965971023734741841255792237761292184175524,research:research,continue,30877392967417681590//3842010443674795399,28509834527912127391//3842010443674795399,2367558439505554199//3842010443674795399,2367558439505554199//7684020887349590798,2,0//1,0//1,0//1,true,true,true
discount_factor,9//10,9//10,1,0//1,1646221703354301015968620//96394894850115751127551,70152235//10798898,11015062943583744582440025854275//1040958637207125284619808238798,1838177577765745649296069614223050578782943456200//9291975753164872158038108564348229327871257601,2231172090774575//29154049503601,32858323129976401475081325934643761037162949607765825839481625//270898721094028869243761544612477442002328347536469648121201,1654359819989171084366462652800745520904649110580//9291975753164872158038108564348229327871257601,4016109763394235//58308099007202,59144981633957522655146386682358769866893309293978486511066925//541797442188057738487523089224954884004656695072939296242402,82717990999458554218323132640037276045232455529//7934368399740814537395274199052541631071672481,803221952678847//75756683023703,2365799265358300906205855467294350794675732371759139460442677//229324498210072814063755785704879415105461566625995462983229,77426495669782106230934242505236613697//19197611613397460884491310354077200248,11828996326791504531029277336471753973378661858795697302213385//1850551752846809238408064785715288273630899839778807216832648,research:research,continue,1646221703354301015968620//96394894850115751127551,3066192550958785747083547//192789789700231502255102,226250855749816284853693//192789789700231502255102,226250855749816284853693//385579579400463004510204,2,0//1,0//1,0//1,true,true,true
discount_factor,9//10,9//10,2,1//4,1665773081342236326227820//96394894850115751127551,79727195//10798898,10303219017840838916111224492915//1040958637207125284619808238798,1839493788140651888026650621196605278029734368200//9291975753164872158038108564348229327871257601,2402304965587775//29154049503601,31306533469069917339730221382321925829855598339673281958460425//270898721094028869243761544612477442002328347536469648121201,1655544409326586699223985559076944750226760931380//9291975753164872158038108564348229327871257601,4324148938057995//58308099007202,56351760244325851211514398488179466493740077011411907525228765//541797442188057738487523089224954884004656695072939296242402,27592406822109778320399759317949079170446015523//2676200350335636377383174559000129700658411147,864829787611599//86096584663111,11270352048865170242302879697635893298748015402282381505045753//1072522482765813553262220244924159381481149268289284677911617,27788392146689341089473628145165354683//6475204116695671088194320742378183976,3756784016288390080767626565878631099582671800760793835015251//624176619961915856174307025241498107090999745784485720322776,research:research,continue,1665773081342236326227820//96394894850115751127551,12494072789322472261279979//771159158800926009020408,832111861415418348542581//771159158800926009020408,832111861415418348542581//1542318317601852018040816,2,0//1,0//1,0//1,true,true,true
discount_factor,9//10,9//10,3,1//2,1686017710603245842093420//96394894850115751127551,90168675//10798898,9515333337598709441889919386235//1040958637207125284619808238798,1840957237469185276046005785275454787758009184200//9291975753164872158038108564348229327871257601,2585685166228375//29154049503601,29645234565277026820688380463623920775260018458914963751675825//270898721094028869243761544612477442002328347536469648121201,1656861513722266748441405206747909308982208265780//9291975753164872158038108564348229327871257601,4654233299211075//58308099007202,53361422217498648277239084834523057395468033226046934753016485//541797442188057738487523089224954884004656695072939296242402,82843075686113337422070260337395465449110413289//8126174996451638573418410304575488293163890721,62056443989481//6491482160801,10672284443499729655447816966904611479093606645209386950603297//990506842367827955939124375707294446496155452511251247414553,89728865897071779066546568537999365465//19661697519550021566777215432667362168,10672284443499729655447816966904611479093606645209386950603297//1895287264971806011902176549870268461538775320290462879890568,research:research,continue,1686017710603245842093420//96394894850115751127551,6367828598335938712968885//385579579400463004510204,376242244077044655404795//385579579400463004510204,376242244077044655404795//771159158800926009020408,2,0//1,0//1,0//1,true,true,true
discount_factor,9//10,9//10,4,3//4,1706069854599740018567020//96394894850115751127551,99087355//10798898,8872159174496332063956058926355//1040958637207125284619808238798,1842350826861122536266357042701528093617344480200//9291975753164872158038108564348229327871257601,2720205289458975//29154049503601,28435905616025773070788866681657324343946859106337265226781225//270898721094028869243761544612477442002328347536469648121201,1658115744175010282639721338431375284255610032180//9291975753164872158038108564348229327871257601,4896369521026155//58308099007202,51184630108846391527419960026983183819104346391407077408206205//541797442188057738487523089224954884004656695072939296242402,82905787208750514131986066921568764212780501609//8222821212054710371822781555439379512013098401,979273904205231//107003423973479,10236926021769278305483992005396636763820869278281415481641241//923555072336839548100489161585547818204859563942519933572129,94397005025325567123553375448762419281//19895537999040872293938993581739935608,10236926021769278305483992005396636763820869278281415481641241//1917828293404027216583150325951204007389223368431072134736008,research:research,continue,1706069854599740018567020//96394894850115751127551,12973831484456166543235561//771159158800926009020408,674727352341753605300599//771159158800926009020408,674727352341753605300599//1542318317601852018040816,2,0//1,0//1,0//1,true,true,true
discount_factor,9//10,9//10,5,1//1,1724134841403925597139820//96394894850115751127551,104784395//10798898,8518075552609174661231008551715//1040958637207125284619808238798,1843328543269649488148959994065648040309297888200//9291975753164872158038108564348229327871257601,2783611318573775//29154049503601,27875242723461263262548312649823235963554793748345588647394425//270898721094028869243761544612477442002328347536469648121201,1658995688942684539334063994659083236278368099380//9291975753164872158038108564348229327871257601,5010500373432795//58308099007202,50175436902230273872586962769681824734398628747022059565309965//541797442188057738487523089224954884004656695072939296242402,27649928149044742322234399910984720604639468323//2769963279075873414424314643260560752426686347,1002100074686559//113155599359671,10035087380446054774517392553936364946879725749404411913061993//886696431887137707229717305305265998872935776312375085243857,32199110442901331908961686839051429003//6702068335623107455630254236852065576,3345029126815351591505797517978788315626575249801470637687331//646045172490679724382501626228281492835089105207205392284376,research:research,continue,1724134841403925597139820//96394894850115751127551,1647100096605913349758669//96394894850115751127551,77034744798012247381151//96394894850115751127551,77034744798012247381151//192789789700231502255102,2,0//1,0//1,0//1,true,true,true
research_cost,0//1,0//1,1,0//1,29475017390493820990//3842010443674795399,40885//14116,258988748494566767206725//54233819422913411852284,714320698878107905269798537897277443800//14761044249306198189148052344511569201,1653895525//99630728,46755066226440168324789997408987898331511360875//1470653584598590020497102154865794443918008328,571456559102486324215838830317821955040//14761044249306198189148052344511569201,330779105//24907682,9351013245288033664957999481797579666302272175//367663396149647505124275538716448610979502082,57145655910248632421583883031782195504//11324332464177347529110281531198162501,132311642//28856633,236809452239013198226223475322509140013986//44463276411588071520401938085968200414661,254171355191880346627867579//146830872021377983236769036,143861742235200517922430761258424302558496495//43394287981539348285933020816854909316805028,research:research,continue,29475017390493820990//3842010443674795399,51220574195240784503//7684020887349590798,7729460585746857477//7684020887349590798,7729460585746857477//15368041774699181596,2,0//1,0//1,0//1,true,true,true
research_cost,0//1,0//1,2,1//4,30203470479746739390//3842010443674795399,48345//14116,240610194392646989664585//54233819422913411852284,716143038610868877390489565894599591800//14761044249306198189148052344511569201,1869498175//99630728,43754107003760792436156627063614078711881122225//1470653584598590020497102154865794443918008328,572914430888695101912391652715679673440//14761044249306198189148052344511569201,373899635//24907682,8750821400752158487231325412722815742376224445//367663396149647505124275538716448610979502082,57291443088869510191239165271567967344//11604204901841035564514487219562406661,149559854//34121901,3324148680247733518416457896570870177540826//619620599905171415261139802269189705067719,287305260511238811677155873//150459687601183845052598796,583388093383477232482088360848187716158414963//192689230371931818927744888038616402844579868,research:research,continue,30203470479746739390//3842010443674795399,213121515297382131171//30736083549398363192,28506248540591783949//30736083549398363192,28506248540591783949//61472167098796726384,2,0//1,0//1,0//1,true,true,true
research_cost,0//1,0//1,3,1//2,30953998183355230590//3842010443674795399,56475//14116,219969098549708364849915//54233819422913411852284,718159846982896215964782377684397005800//14761044249306198189148052344511569201,1054724125//49815364,20206564707701515030382481320614550586535437075//735326792299295010248551077432897221959004164,574527877586316972771825902147517604640//14761044249306198189148052344511569201,210944825//12453841,4041312941540303006076496264122910117307087415//183831698074823752562137769358224305489751041,57452787758631697277182590214751760464//11892558429394144026023551935471605541,33751172//7972011,9210969667328325939775490060678997418363732//1699396633812810246692979073737136714787743,162090444137830414470572035//77099234337958977657239238,89806954256451177912811028091620224829046387//32912895947307643562488261791023474538296218,research:research,continue,30953998183355230590//3842010443674795399,110875906743406674165//15368041774699181596,12940085990014248195//15368041774699181596,12940085990014248195//30736083549398363192,2,0//1,0//1,0//1,true,true,true
research_cost,0//1,0//1,4,3//4,31699309460633977790//3842010443674795399,63905//14116,201943774943271430510545//54233819422913411852284,720097244485902265756323972464921439800//14761044249306198189148052344511569201,2303050075//99630728,37748388633481470036669741842400782223351434325//1470653584598590020497102154865794443918008328,576077795588721812605059177971937151840//14761044249306198189148052344511569201,460610015//24907682,7549677726696294007333948368480156444670286865//367663396149647505124275538716448610979502082,57607779558872181260505917797193715184//12178907800503498824532304080576018821,184244006//45104149,8603621340964437615195382756102742387088646//1560139917928041152958500795038490783510589,353933697618240832771064197//157911263933012527437676556,1509935545339258801466789673696031288934057373//606696725204521177217648857532579707238965844,research:research,continue,31699309460633977790//3842010443674795399,230289696095593045489//30736083549398363192,23304779589478776831//30736083549398363192,23304779589478776831//61472167098796726384,2,0//1,0//1,0//1,true,true,true
research_cost,0//1,0//1,5,1//1,32381115254570243390//3842010443674795399,69245//14116,191051809761252348289485//54233819422913411852284,721484931913413435795068264687435371800//14761044249306198189148052344511569201,2406112425//99630728,36365337033333372480822281109826211334611247975//1470653584598590020497102154865794443918008328,577187945530730748636054611749948297440//14761044249306198189148052344511569201,481222485//24907682,7273067406666674496164456221965242266922249595//367663396149647505124275538716448610979502082,57718794553073074863605461174994829744//12440858298589610616970443573188216261,192488994//48873121,8288395905033247289076303386854976942361538//1475992785044525039478862673880386494713737,369772362620227514754669303//161307704313236933804144396,1454613481333334899232891244393048453384449919//619745884616662139502647223839831633552434004,research:research,continue,32381115254570243390//3842010443674795399,29712812357634176831//3842010443674795399,2668302896936066559//3842010443674795399,2668302896936066559//7684020887349590798,2,0//1,0//1,0//1,true,true,true
research_cost,1//4,1//4,1,0//1,27971295103341259190//3842010443674795399,40885//14116,237762204689121204837925//54233819422913411852284,710236441208244612699817775025310191550//14761044249306198189148052344511569201,1653895525//99630728,46348148661452104825565823058058430197684222875//1470653584598590020497102154865794443918008328,568189152966595690159854220020248153240//14761044249306198189148052344511569201,330779105//24907682,9269629732290420965113164611611686039536844575//367663396149647505124275538716448610979502082,56818915296659569015985422002024815324//10746600791014678324055563239827846681,132311642//28856633,741570378583233677209053168928934883162947566//128947524747035758868393149772745408562610707,254171355191880346627867579//139340024712436244276819516,1853925946458084193022632922322337207907368915//535345830167084130055737839017043479750206884,research:research,continue,27971295103341259190//3842010443674795399,48814618535796685623//7684020887349590798,7127971670885832757//7684020887349590798,7127971670885832757//15368041774699181596,2,0//1,0//1,0//1,true,true,true
research_cost,1//4,1//4,2,1//4,28699748192594177590//3842010443674795399,48345//14116,219383650587201427295785//54233819422913411852284,712058780941005584820508803022632339550//14761044249306198189148052344511569201,1869498175//99630728,43347189438772728936932452712684610578053984225//1470653584598590020497102154865794443918008328,569647024752804467856407042418105871640//14761044249306198189148052344511569201,373899635//24907682,8669437887754545787386490542536922115610796845//367663396149647505124275538716448610979502082,56964702475280446785640704241810587164//11026473228678366359459768928192090841,149559854//34121901,3467775155101818314954596217014768846244318738//594900664514290704947197348585316076699791147,287305260511238811677155873//142968840292242106092649276,1733887577550909157477298108507384423122159369//549287777522868059121843232513778867165481124,research:research,continue,28699748192594177590//3842010443674795399,203497692659605735651//30736083549398363192,26100292881147685069//30736083549398363192,26100292881147685069//61472167098796726384,2,0//1,0//1,0//1,true,true,true
research_cost,1//4,1//4,3,1//2,29450275896202668790//3842010443674795399,56475//14116,198742554744262802481115//54233819422913411852284,714075589313032923394801614812429753550//14761044249306198189148052344511569201,1054724125//49815364,20003105925207483280770394145149816519621868075//735326792299295010248551077432897221959004164,571260471450426338715841291849943802840//14761044249306198189148052344511569201,210944825//12453841,4000621185041496656154078829029963303924373615//183831698074823752562137769358224305489751041,57126047145042633871584129184994380284//11314826756231474820968833644101289721,33751172//7972011,3200496948033197324923263063223970643139498892//538928391282441601266452791677594304153980833,162090444137830414470572035//73353810683488108177264478,800124237008299331230815765805992660784874723//281826106729305093231698640318176100160536722,research:research,continue,29450275896202668790//3842010443674795399,106063995424518476405//15368041774699181596,11737108160292198755//15368041774699181596,11737108160292198755//30736083549398363192,2,0//1,0//1,0//1,true,true,true
research_cost,1//4,1//4,4,3//4,30195587173481415990//3842010443674795399,63905//14116,180717231137825868141745//54233819422913411852284,716012986816038973186343209592954187550//14761044249306198189148052344511569201,2303050075//99630728,37341471068493406537445567491471314089524296325//1470653584598590020497102154865794443918008328,572810389452831178549074567674363350040//14761044249306198189148052344511569201,460610015//24907682,7468294213698681307489113498294262817904859265//367663396149647505124275538716448610979502082,57281038945283117854907456767436335004//11601176127340829619477585789205703001,184244006//45104149,2987317685479472522995645399317705127161943706//490049284006887649365650915854369582275699779,353933697618240832771064197//150420416624070788477727036,1493658842739736261497822699658852563580971853//577916811611593779556257425930509365870707364,research:research,continue,30195587173481415990//3842010443674795399,220665873457816649969//30736083549398363192,20898823930034677951//30736083549398363192,20898823930034677951//61472167098796726384,2,0//1,0//1,0//1,true,true,true
research_cost,1//4,1//4,5,1//1,30877392967417681590//3842010443674795399,69245//14116,169825265955806785920685//54233819422913411852284,717400674243550143225087501815468119550//14761044249306198189148052344511569201,2406112425//99630728,35958419468345308981598106758896743200784109975//1470653584598590020497102154865794443918008328,573920539394840114580070001452374495640//14761044249306198189148052344511569201,481222485//24907682,7191683893669061796319621351779348640156821995//367663396149647505124275538716448610979502082,57392053939484011458007000145237449564//11863126625426941411915725281817900441,192488994//48873121,2876673557467624718527848540711739456062728798//460513640364773493534297935327874976908004727,123257454206742504918223101//51272285668098398281398292,1438336778733812359263924270355869728031364399//590965971023734741841255792237761292184175524,research:research,continue,30877392967417681590//3842010443674795399,28509834527912127391//3842010443674795399,2367558439505554199//3842010443674795399,2367558439505554199//7684020887349590798,2,0//1,0//1,0//1,true,true,true
research_cost,1//2,1//2,1,0//1,26467572816188697390//3842010443674795399,40885//14116,216535660883675642469125//54233819422913411852284,706152183538381320129837012153342939300//14761044249306198189148052344511569201,1653895525//99630728,45941231096464041326341648707128962063857084875//1470653584598590020497102154865794443918008328,564921746830705056103869609722674351440//14761044249306198189148052344511569201,330779105//24907682,9188246219292808265268329741425792412771416975//367663396149647505124275538716448610979502082,18830724894356835203462320324089145048//3389623039284003039666948316152510287,132311642//28856633,735059697543424661221466379314063393021713358//117435559309864799803836577131917272015307315,254171355191880346627867579//131849177403494505316869996,1837649243858561653053665948285158482554283395//506565916574156732394346407414973138381948404,research:research,continue,26467572816188697390//3842010443674795399,46408662876352586743//7684020887349590798,6526482756024808037//7684020887349590798,6526482756024808037//15368041774699181596,2,0//1,0//1,0//1,true,true,true
research_cost,1//2,1//2,2,1//4,27196025905441615790//3842010443674795399,48345//14116,198157106781755864926985//54233819422913411852284,707974523271142292250528040150665087300//14761044249306198189148052344511569201,1869498175//99630728,42940271873784665437708278361755142444226846225//1470653584598590020497102154865794443918008328,566379618616913833800422432120532069840//14761044249306198189148052344511569201,373899635//24907682,8588054374756933087541655672351028488845369245//367663396149647505124275538716448610979502082,56637961861691383380042243212053206984//10448741555515697154405050636821775021,149559854//34121901,3435221749902773235016662268940411395538147698//537340837328435909624414485381175393963274187,287305260511238811677155873//135477992983300367132699756,1717610874951386617508331134470205697769073849//520507863929940661460451800911708525797222644,research:research,continue,27196025905441615790//3842010443674795399,193873870021829340131//30736083549398363192,23694337221703586189//30736083549398363192,23694337221703586189//61472167098796726384,2,0//1,0//1,0//1,true,true,true
research_cost,1//2,1//2,3,1//2,27946553609050106990//3842010443674795399,56475//14116,177516010938817240112315//54233819422913411852284,709991331643169630824820851940462501300//14761044249306198189148052344511569201,1054724125//49815364,19799647142713451531158306969685082452708299075//735326792299295010248551077432897221959004164,567993065314535704659856681552370001040//14761044249306198189148052344511569201,210944825//12453841,3959929428542690306231661393937016490541659815//183831698074823752562137769358224305489751041,56799306531453570465985668155237000104//10737095083068805615914115352730973901,33751172//7972011,3167943542834152244985329115149613192433327852//481368564096586805943669928473453621417463873,162090444137830414470572035//69608387029017238697289718,791985885708538061246332278787403298108331963//267436149932841394401002924517140929476407482,research:research,continue,27946553609050106990//3842010443674795399,101252084105630278645//15368041774699181596,10534130330570149315//15368041774699181596,10534130330570149315//30736083549398363192,2,0//1,0//1,0//1,true,true,true
research_cost,1//2,1//2,4,3//4,28691864886328854190//3842010443674795399,63905//14116,159490687332380305772945//54233819422913411852284,711928729146175680616362446720986935300//14761044249306198189148052344511569201,2303050075//99630728,36934553503505343038221393140541845955697158325//1470653584598590020497102154865794443918008328,569542983316940544493089957376789548240//14761044249306198189148052344511569201,460610015//24907682,7386910700701068607644278628108369191139431665//367663396149647505124275538716448610979502082,56954298331694054449308995737678954824//11023444454178160414422867497835387181,184244006//45104149,2954764280280427443057711451243347676455772666//432489456821032854042868052650228899539182819,353933697618240832771064197//142929569315129049517777516,1477382140140213721528855725621673838227886333//549136898018666381894865994328439024502448884,research:research,continue,28691864886328854190//3842010443674795399,211042050820040254449//30736083549398363192,18492868270590579071//30736083549398363192,18492868270590579071//61472167098796726384,2,0//1,0//1,0//1,true,true,true
research_cost,1//2,1//2,5,1//1,29373670680265119790//3842010443674795399,69245//14116,148598722150361223551885//54233819422913411852284,713316416573686850655106738943500867300//14761044249306198189148052344511569201,2406112425//99630728,35551501903357245482373932407967275066956971975//1470653584598590020497102154865794443918008328,570653133258949480524085391154800693840//14761044249306198189148052344511569201,481222485//24907682,7110300380671449096474786481593455013391394395//367663396149647505124275538716448610979502082,57065313325894948052408539115480069384//11285394952264272206861006990447584621,192488994//48873121,2844120152268579638589914592637382005356557758//402953813178918698211515072123734294171487767,21751315448248677338509959//8607412335020791522602668,1422060076134289819294957296318691002678278879//562186057430807344179864360635690950815917044,research:research,continue,29373670680265119790//3842010443674795399,27306856698190077951//3842010443674795399,2066813982075041839//3842010443674795399,2066813982075041839//7684020887349590798,2,0//1,0//1,0//1,true,true,true
descendant_payoff_scale,1//2,1//1,1,0//1,220018469491165//57206347867808,40885//14116,191724795690488765//201881201625494432,1238572779808964841425869525//51133847443322826685042576,1653895525//99630728,4853733283850819236615179740986475//636812805777398995206077319734416,247714555961792968285173905//12783461860830706671260644,330779105//24907682,970746656770163847323035948197295//159203201444349748801519329933604,396343289538868749256278248//78665331894089289977774477,132311642//28856633,1553194650832262155716857517115672//241910200846239302099656767912853,1892266454803218855184//548015007221263962953,1553194650832262155716857517115672//979685535621216857186096870416157,research:research,continue,220018469491165//57206347867808,12890875794981//3575396741738,13764456771469//57206347867808,13764456771469//114412695735616,2,0//1,0//1,0//1,true,true,true
descendant_payoff_scale,1//2,1//1,2,1//4,230925557443565//57206347867808,48345//14116,123526070301046445//201881201625494432,1244686944382541986232239525//51133847443322826685042576,1869498175//99630728,3551803990613466019419450664603175//636812805777398995206077319734416,248937388876508397246447905//12783461860830706671260644,373899635//24907682,710360798122693203883890132920635//159203201444349748801519329933604,398299822202413435594316648//82565048566775365381501597,149559854//34121901,1136577276996309126214224212673016//155859946902815981584534750755589,2138943258745643945008//575182035047704996633,1136577276996309126214224212673016//1028251987007898283178125230284077,research:research,continue,230925557443565//57206347867808,55430810945353//14301586966952,9202313662153//57206347867808,9202313662153//114412695735616,2,0//1,0//1,0//1,true,true,true
descendant_payoff_scale,1//2,1//1,3,1//2,242753456155565//57206347867808,56475//14116,48994822814374685//201881201625494432,1248535170195488413630215525//51133847443322826685042576,1054724125//49815364,2066032866887012753715891554245025//636812805777398995206077319734416,249707034039097682726043105//12783461860830706671260644,210944825//12453841,413206573377402550743178310849005//159203201444349748801519329933604,399531254462556292361668968//86793991618424554065647197,33751172//7972011,661130517403844081189085297358408//61819585644963439618841375182837,2413476607972776338720//604642589032375555033,661130517403844081189085297358408//1080918571371192066829473753533677,research:research,continue,242753456155565//57206347867808,29903955067391//7150793483476,3521815616437//57206347867808,3521815616437//114412695735616,2,0//1,0//1,0//1,true,true,true
descendant_payoff_scale,1//2,1//1,4,3//4,260856853818365//57206347867808,63905//14116,6620922001942525//201881201625494432,1210766568748349280565777525//51133847443322826685042576,2303050075//99630728,358217936634611671855670083349375//636812805777398995206077319734416,242153313749669856113155505//12783461860830706671260644,460610015//24907682,71643587326922334371134016669875//159203201444349748801519329933604,387445301999471769781048808//93266674520220798506641837,184244006//45104149,22925947944615146998762885334360//1670799612026038908617334464401,2634981674948626089712//649733956242832117993,114629739723075734993814426671800//1161528335073581109494754881945917,continue,research:research,260856853818365//57206347867808,164121827089961169//36612062635397120,2826559353792431//36612062635397120,2826559353792431//73224125270794240,2,0//1,0//1,0//1,true,true,true
descendant_payoff_scale,1//2,1//1,5,1//1,280996762234905//57206347867808,69245//14116,1324184400388505//201881201625494432,2484655423400128505310797475//102267694886645653370085152,2406112425//99630728,185057164954495641457701394949775//1273625611554797990412154639468832,496931084680025701062159495//25566923721661413342521288,481222485//24907682,37011432990899128291540278989955//318406402888699497603038659867208,132514955914673520283242532//33489163604453560799132163,192488994//48873121,29609146392719302633232223191964//1670799612026038908617334464401,305877565319122414032//77766422186406922669,9869715464239767544410741063988//417068718752851538076224895988083,continue,research:research,280996762234905//57206347867808,34490437827008261//7322412527079424,1477147739059579//7322412527079424,1477147739059579//14644825054158848,2,0//1,0//1,0//1,true,true,true
descendant_payoff_scale,1//1,2//1,1,0//1,27971295103341259190//3842010443674795399,40885//14116,237762204689121204837925//54233819422913411852284,710236441208244612699817775025310191550//14761044249306198189148052344511569201,1653895525//99630728,46348148661452104825565823058058430197684222875//1470653584598590020497102154865794443918008328,568189152966595690159854220020248153240//14761044249306198189148052344511569201,330779105//24907682,9269629732290420965113164611611686039536844575//367663396149647505124275538716448610979502082,56818915296659569015985422002024815324//10746600791014678324055563239827846681,132311642//28856633,741570378583233677209053168928934883162947566//128947524747035758868393149772745408562610707,254171355191880346627867579//139340024712436244276819516,1853925946458084193022632922322337207907368915//535345830167084130055737839017043479750206884,research:research,continue,27971295103341259190//3842010443674795399,48814618535796685623//7684020887349590798,7127971670885832757//7684020887349590798,7127971670885832757//15368041774699181596,2,0//1,0//1,0//1,true,true,true
descendant_payoff_scale,1//1,2//1,2,1//4,28699748192594177590//3842010443674795399,48345//14116,219383650587201427295785//54233819422913411852284,712058780941005584820508803022632339550//14761044249306198189148052344511569201,1869498175//99630728,43347189438772728936932452712684610578053984225//1470653584598590020497102154865794443918008328,569647024752804467856407042418105871640//14761044249306198189148052344511569201,373899635//24907682,8669437887754545787386490542536922115610796845//367663396149647505124275538716448610979502082,56964702475280446785640704241810587164//11026473228678366359459768928192090841,149559854//34121901,3467775155101818314954596217014768846244318738//594900664514290704947197348585316076699791147,287305260511238811677155873//142968840292242106092649276,1733887577550909157477298108507384423122159369//549287777522868059121843232513778867165481124,research:research,continue,28699748192594177590//3842010443674795399,203497692659605735651//30736083549398363192,26100292881147685069//30736083549398363192,26100292881147685069//61472167098796726384,2,0//1,0//1,0//1,true,true,true
descendant_payoff_scale,1//1,2//1,3,1//2,29450275896202668790//3842010443674795399,56475//14116,198742554744262802481115//54233819422913411852284,714075589313032923394801614812429753550//14761044249306198189148052344511569201,1054724125//49815364,20003105925207483280770394145149816519621868075//735326792299295010248551077432897221959004164,571260471450426338715841291849943802840//14761044249306198189148052344511569201,210944825//12453841,4000621185041496656154078829029963303924373615//183831698074823752562137769358224305489751041,57126047145042633871584129184994380284//11314826756231474820968833644101289721,33751172//7972011,3200496948033197324923263063223970643139498892//538928391282441601266452791677594304153980833,162090444137830414470572035//73353810683488108177264478,800124237008299331230815765805992660784874723//281826106729305093231698640318176100160536722,research:research,continue,29450275896202668790//3842010443674795399,106063995424518476405//15368041774699181596,11737108160292198755//15368041774699181596,11737108160292198755//30736083549398363192,2,0//1,0//1,0//1,true,true,true
