trial_id,batch_id,within_batch_order,principal_cell_id,canonical_index,replicate_id,theorem_regime,boundary_mechanism,frontier_density,module_overlap,module_complementarity,project_cost,duration,admission,persistence,schedule_key,trial_seed,catalog_seed,project_seed,deletion_seed,trial_seed_draw,arithmetic,theorem_evidence,horizon,discount_factor,source_library_ids,source_size,source_closure_size,source_passive_value,source_research_option_premium,source_total_value,realized_frontier_supplier_fraction,realized_module_overlap,descendant_quality,frontier_only_signed_total_dynamic_loss,innovation_safe_signed_total_dynamic_loss,silent_generative_asset_count,active_asset_count,frontier_closure_J,interaction_sign,frontier_only_compression_ratio,innovation_safe_compression_ratio,four_raw_witnesses,all_compressed_states_have_raw_witnesses,raw_compressed_value_comparisons,raw_compressed_values_agree,rectangle_consistency,project_laws_follow_actual_state,frontier_density_gate,module_overlap_gate,frontier_independent_availability,frontier_independent_cost,frontier_independent_generation,frontier_independent_verification,frontier_independent_completion,frontier_independent_primitives,frontier_independent_menus,poor_to_rich_menu_inclusion,antitone_recursive_descendant_gap,nonnegative_rich_exposure,zero_poor_exposure,common_gap_action_value_identities,minimum_rich_exposure,maximum_poor_exposure,computed_primitive_predicate,primitive_interaction_sign_gate,frontier_only_passive_zero_gate,innovation_safe_exact_zero_gate,all_decompositions_exact,all_exact_outputs_rational,all_hard_gates_pass
257,3,1,C013,269,3,primitive_eligible,none,sparse,low,strong,high,short,low,low,158910819720300271,4798458351824816857,2671182050850599273,8096192508204096782,3765652854854837869,14655094135657345549,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,1575//128,0//1,1575//128,1//2,0//1,13//3,0//1,0//1,0,5,0//1,zero,1//2,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
258,3,2,C125,381,3,primitive_eligible,none,sparse,low,strong,high,long,high,high,249970922804815373,2745686813061207362,3586998281422327300,7167842393423913778,856278675910106416,4503561790326953684,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,1575//128,0//1,1575//128,1//2,0//1,13//3,0//1,0//1,0,5,0//1,zero,1//2,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
259,3,3,C077,333,3,primitive_eligible,none,sparse,low,strong,high,short,low,high,363304166855561784,4747862594213010770,1289154633563324101,2153024420363751266,482116230973484941,16902252812927582172,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,9275//768,0//1,9275//768,1//2,0//1,3//1,0//1,0//1,0,5,0//1,zero,1//2,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
260,3,4,C072,328,3,primitive_eligible,none,dense,high,strong,low,short,low,high,485446798163164653,7380291579236516502,8643462040007069821,6321428487465977448,2976583723471022309,3654870160793557028,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,875//48,0//1,875//48,3//4,1//1,2//1,0//1,0//1,0,5,-92503//393216,substitution,1//3,1//6,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
261,3,5,C114,370,3,primitive_eligible,none,dense,low,weak,low,long,high,high,543252814690036764,4162826871213737549,7899355002217287422,1387985190612232115,2888340422892303402,8308071731314008421,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,875//48,1447//24576,449447//24576,3//4,0//1,14//3,1447//24576,0//1,1,5,-5705//24576,substitution,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
262,3,6,C014,270,3,primitive_eligible,none,dense,low,strong,high,short,low,low,583426594811899259,700386125525140986,3835966851644697016,3730108820650501248,3453788172736077217,11748945528938848945,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,13825//768,0//1,13825//768,3//4,0//1,4//1,0//1,0//1,0,5,0//1,zero,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
263,3,7,C047,303,3,primitive_eligible,none,sparse,high,strong,high,short,high,low,750012733577713036,7151665103783853204,4668702685833994218,2105396898197170241,7690281909536553640,7983609613318034443,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,1575//128,1117//1024,13717//1024,1//2,1//1,14//3,1117//1024,0//1,1,5,-1521//2048,substitution,1//2,1//3,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
264,3,8,C115,371,3,primitive_eligible,none,sparse,high,weak,low,long,high,high,851476960200476249,980719376593742788,6737117281239222301,6851253730745328422,6691689864978052572,5362957034657220458,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,9275//768,17//128,9377//768,1//2,1//1,4//1,17//128,0//1,1,5,-27//256,substitution,1//2,1//3,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
265,3,9,C054,310,3,primitive_eligible,none,dense,low,strong,low,long,high,low,1009821787057199411,1428463550711043595,3113916116852695341,3435971386570902736,2173460250251342439,1037370423361412785,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,13475//768,17//128,13577//768,3//4,0//1,11//3,17//128,0//1,1,5,-189//1024,substitution,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
266,3,10,C122,378,3,primitive_eligible,none,dense,low,weak,high,long,high,high,1152003117886334286,3086568982552803713,283062894682575890,5896936979371036725,3281965681897365228,6987660687267561783,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,13825//768,0//1,13825//768,3//4,0//1,10//3,0//1,0//1,0,5,0//1,zero,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
267,3,11,C076,332,3,primitive_eligible,none,dense,high,weak,high,short,low,high,1440812100143043542,2693013108185663559,2492508717947516826,7939894979022652043,8807822768552700941,14355533044724675742,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,7175//384,0//1,7175//384,3//4,1//1,10//3,0//1,0//1,0,5,0//1,zero,1//3,1//6,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
268,3,12,C003,259,3,primitive_eligible,none,sparse,high,weak,low,short,low,low,1605602425699285755,956845036654886292,8275667166594707773,1588431556115800586,4959282786079181938,9828786903577248825,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,9275//768,10859//16384,626177//49152,1//2,1//1,13//3,10859//16384,0//1,1,5,-2667//8192,substitution,1//2,1//3,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
269,3,13,C128,384,3,primitive_eligible,none,dense,high,strong,high,long,high,high,1731467110367864112,8305869392707957871,2524634760278266554,1059928538170241020,6790451983964087290,5823733159766611462,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,875//48,0//1,875//48,3//4,1//1,4//1,0//1,0//1,0,5,0//1,zero,1//3,1//6,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
270,3,14,C040,296,3,primitive_eligible,none,dense,high,strong,low,short,high,low,1852831793446982885,7250690796604499936,9163713815797514711,6090457955903446427,5844116737267554194,9281876883466810943,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,7175//384,7771//4096,252913//12288,3//4,1//1,14//3,7771//4096,0//1,1,5,-10275//8192,substitution,1//3,1//6,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
271,3,15,C048,304,3,primitive_eligible,none,dense,high,strong,high,short,high,low,1871927703253702323,693259973008805107,1464185998367512643,7650629188589219498,7707735287447553645,1998063927293823127,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,4725//256,4521//4096,80121//4096,3//4,1//1,13//3,4521//4096,0//1,1,5,-4015//4096,substitution,1//3,1//6,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
272,3,16,C087,343,3,primitive_eligible,none,sparse,high,strong,low,long,low,high,1948695373230272190,8045668745445147963,457465976911053287,5876445172560504699,7409438020903874037,11927016744772119249,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,2975//256,0//1,2975//256,1//2,1//1,3//1,0//1,0//1,0,5,0//1,zero,1//2,1//3,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
273,3,17,C118,374,3,primitive_eligible,none,dense,low,strong,low,long,high,high,1951757044494391874,1069068533412626914,3431677660624428089,3875817868751052362,6660287604576090003,6207398090651666511,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,13825//768,61//256,1751//96,3//4,0//1,14//3,61//256,0//1,1,5,-189//1024,substitution,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
274,3,18,C127,383,3,primitive_eligible,none,sparse,high,strong,high,long,high,high,2187102825824658506,4423875583872787565,997133637924729996,2435183532440026462,4919897612080440941,16421360598696988091,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,4375//384,0//1,4375//384,1//2,1//1,10//3,0//1,0//1,0,5,0//1,zero,1//2,1//3,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
275,3,19,C060,316,3,primitive_eligible,none,dense,high,weak,high,long,high,low,2367457029058729523,6860865057890666910,2129051412641766684,6293897932298677975,6720435509058684818,5034475756208080736,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,875//48,0//1,875//48,3//4,1//1,4//1,0//1,0//1,0,5,0//1,zero,1//3,1//6,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
276,3,20,C052,308,3,primitive_eligible,none,dense,high,weak,low,long,high,low,2660149734483767992,1541129123880380472,1875376886832558188,791699341180865614,8423063661388600536,16001965654121249282,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,14525//768,1447//24576,466247//24576,3//4,1//1,11//3,1447//24576,0//1,1,5,-5705//24576,substitution,1//3,1//6,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
277,3,21,C071,327,3,primitive_eligible,none,sparse,high,strong,low,short,low,high,2757199083534225666,1729577929783744479,4848124399369911650,6765481833847078240,764671968115672472,7815028563570011404,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,2975//256,2491//24576,288091//24576,1//2,1//1,3//1,2491//24576,0//1,1,5,-1457//16384,substitution,1//2,1//3,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
278,3,22,C030,286,3,primitive_eligible,none,dense,low,strong,high,long,low,low,2857832571635016052,6862175325704722512,4626038812457517801,3630957649290488321,3929708458357589662,4866118045484561685,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,4725//256,0//1,4725//256,3//4,0//1,14//3,0//1,0//1,0,5,0//1,zero,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
279,3,23,C070,326,3,primitive_eligible,none,dense,low,strong,low,short,low,high,3049018372029423882,4995842362822739911,4502051187938087869,5021362875722892253,837714884035404440,9662802600092655182,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,875//48,2491//24576,450491//24576,3//4,0//1,4//1,2491//24576,0//1,1,5,-25733//98304,substitution,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
280,3,24,C102,358,3,primitive_eligible,none,dense,low,strong,low,short,high,high,3253711824714087017,5170129269625093050,3508143711736538049,7297421946374717008,6640335209137377593,15873887534664767071,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,4725//256,4913//2048,42713//2048,3//4,0//1,4//1,4913//2048,0//1,1,5,-2055//2048,substitution,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
281,3,25,C126,382,3,primitive_eligible,none,dense,low,strong,high,long,high,high,3362407885371055810,5358275948775820548,2833340882833969955,5786945662382417323,149327348947483811,8239983297211300085,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,875//48,0//1,875//48,3//4,0//1,4//1,0//1,0//1,0,5,0//1,zero,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
282,3,26,C033,289,3,primitive_eligible,none,sparse,low,weak,low,short,high,low,3426070643278746795,2029559675607922957,780331262640676488,1659631644264263332,182453862885495141,2958822119703347084,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,2275//192,15991//4096,193573//12288,1//2,0//1,5//1,15991//4096,0//1,1,5,-6165//8192,substitution,1//2,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
283,3,27,C082,338,3,primitive_eligible,none,dense,low,weak,low,long,low,high,3565062734508071627,4650608756733685201,4191568931013221269,2757836433150135247,4935040853172467656,1057184980503460001,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,13475//768,0//1,13475//768,3//4,0//1,11//3,0//1,0//1,0,5,0//1,zero,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
284,3,28,C116,372,3,primitive_eligible,none,dense,high,weak,low,long,high,high,3576809524879455929,7516665720255863202,1164018977266778999,5467571990841324750,2271838426847835417,2696221061989350644,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,875//48,1447//49152,299149//16384,3//4,1//1,11//3,1447//49152,0//1,1,5,-12857//49152,substitution,1//3,1//6,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
285,3,29,C090,346,3,primitive_eligible,none,dense,low,weak,high,long,low,high,3596514762841781546,7683634418071206656,6189587728755146552,4325520344680192899,1532407333125200503,17513754522767069564,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,875//48,0//1,875//48,3//4,0//1,13//3,0//1,0//1,0,5,0//1,zero,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
286,3,30,C067,323,3,primitive_eligible,none,sparse,high,weak,low,short,low,high,3821570618479794351,5525947212338219500,4328898942109242853,6185731337895569306,7751215263668183069,6648763015003108843,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,1575//128,2735//4096,53135//4096,1//2,1//1,13//3,2735//4096,0//1,1,5,-10857//65536,substitution,1//2,1//3,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
287,3,31,C081,337,3,primitive_eligible,none,sparse,low,weak,low,long,low,high,3969411432463834644,144028241132088421,4156833377429040774,8189053425271933213,16078200999841186,5604927685453369409,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,2975//256,0//1,2975//256,1//2,0//1,10//3,0//1,0//1,0,5,0//1,zero,1//2,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
288,3,32,C108,364,3,primitive_eligible,none,dense,high,weak,high,short,high,high,4010547032401503614,6024720140805485577,1503042883084396698,6854476859347143146,5257940996200947380,15404546013090273784,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,875//48,135707//196608,3719707//196608,3//4,1//1,3//1,135707//196608,0//1,1,5,-176101//196608,substitution,1//3,1//6,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
289,3,33,C103,359,3,primitive_eligible,none,sparse,high,strong,low,short,high,high,4118531570060037092,28978485712740629,388842911820584426,8566779320590230981,1211084626038758744,13618539062710002223,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,1575//128,4913//2048,30113//2048,1//2,1//1,11//3,4913//2048,0//1,1,5,-2055//4096,substitution,1//2,1//3,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
290,3,34,C056,312,3,primitive_eligible,none,dense,high,strong,low,long,high,low,4120738982031494069,8581176240557464502,7784708141847288980,1678133864139649819,2414199154855283085,6649391541037809937,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,4725//256,11//32,4813//256,3//4,1//1,16//3,11//32,0//1,1,5,-243//1024,substitution,1//3,1//6,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
291,3,35,C099,355,3,primitive_eligible,none,sparse,high,weak,low,short,high,high,4194400371974636431,8448060473649147699,3812510828737982125,4284712385168143024,2742708438622250013,1970488897672070814,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,2275//192,7771//4096,168913//12288,1//2,1//1,13//3,7771//4096,0//1,1,5,-6165//8192,substitution,1//2,1//3,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
292,3,36,C074,330,3,primitive_eligible,none,dense,low,weak,high,short,low,high,4271523953127776088,5660775573326783247,5974524664334840827,609361788691736428,2940382381287525241,9311916877136961835,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,4725//256,0//1,4725//256,3//4,0//1,4//1,0//1,0//1,0,5,0//1,zero,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
293,3,37,C017,273,3,primitive_eligible,none,sparse,low,weak,low,long,low,low,4431005083285298693,2823904957247959813,9021091630378585371,6828603181786373482,3862442797272541851,13540147484112727978,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,1575//128,0//1,1575//128,1//2,0//1,3//1,0//1,0//1,0,5,0//1,zero,1//2,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
294,3,38,C094,350,3,primitive_eligible,none,dense,low,strong,high,long,low,high,4474342163376701136,1384765223678000270,7087773305707854641,7723926881156754251,2014753908439520187,18423633801066811686,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,875//48,0//1,875//48,3//4,0//1,11//3,0//1,0//1,0,5,0//1,zero,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
295,3,39,C053,309,3,primitive_eligible,none,sparse,low,strong,low,long,high,low,4572849393445118430,8915225938821507257,9169582325502565184,3027339428849768828,2004065390886779795,10095485229791762522,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,2975//256,17//128,3009//256,1//2,0//1,4//1,17//128,0//1,1,5,-81//1024,substitution,1//2,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
296,3,40,C037,293,3,primitive_eligible,none,sparse,low,strong,low,short,high,low,4778326372335136595,8129944664102066754,1165546536059347240,2239625676410598125,6427226372787777923,581532447703314370,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,2975//256,871//256,1923//128,1//2,0//1,5//1,871//256,0//1,1,5,-6165//8192,substitution,1//2,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
297,3,41,C107,363,3,primitive_eligible,none,sparse,high,weak,high,short,high,high,4791494408195949659,4055314062088381048,8871268252934363647,1745827717830705631,4845576342394742896,6841270155306770698,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,9275//768,2867//12288,151267//12288,1//2,1//1,10//3,2867//12288,0//1,1,5,-4987//12288,substitution,1//2,1//3,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
298,3,42,C019,275,3,primitive_eligible,none,sparse,high,weak,low,long,low,low,5637006775700032655,7241444575042211011,7998525439768068454,7832706978360161602,6847737288615467489,11034546502808195783,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,2975//256,0//1,2975//256,1//2,1//1,16//3,0//1,0//1,0,5,0//1,zero,1//2,1//3,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
299,3,43,C124,380,3,primitive_eligible,none,dense,high,weak,high,long,high,high,5758151714658958071,7821545397344835729,4530061272996070515,5329270418532987532,3161495968684839364,5558429424342710093,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,7175//384,0//1,7175//384,3//4,1//1,16//3,0//1,0//1,0,5,0//1,zero,1//3,1//6,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
300,3,44,C091,347,3,primitive_eligible,none,sparse,high,weak,high,long,low,high,6121073761596009275,4742628014022391331,7806563637011449237,7612414954334374214,1692791642375190983,6481160873831332817,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,4375//384,0//1,4375//384,1//2,1//1,10//3,0//1,0//1,0,5,0//1,zero,1//2,1//3,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
301,3,45,C046,302,3,primitive_eligible,none,dense,low,strong,high,short,high,low,6377022050367775675,3044348064776629072,3255090194508656650,5964785350686382909,482288071869803112,9965054414512851004,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,875//48,1117//1024,59351//3072,3//4,0//1,10//3,1117//1024,0//1,1,5,-16245//16384,substitution,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
302,3,46,C035,291,3,primitive_eligible,none,sparse,high,weak,low,short,high,low,6592474335809646928,2578129330384525917,7639470214355728496,7486211221476299938,6483942023571038270,12287550722975217333,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,4375//384,1429//1024,39287//3072,1//2,1//1,3//1,1429//1024,0//1,1,5,-2055//4096,substitution,1//2,1//3,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
303,3,47,C026,282,3,primitive_eligible,none,dense,low,weak,high,long,low,low,6596212884557954234,1783259458951058317,2846989485731707503,3968974332119529507,7726955384030060928,11509503159740776165,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,4725//256,0//1,4725//256,3//4,0//1,4//1,0//1,0//1,0,5,0//1,zero,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
304,3,48,C015,271,3,primitive_eligible,none,sparse,high,strong,high,short,low,low,6614916366495573049,2779847402561111764,914891699391226880,8459320242795986245,5439259263063774907,7393423901441020727,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,2275//192,0//1,2275//192,1//2,1//1,8//3,0//1,0//1,0,5,0//1,zero,1//2,1//3,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
305,3,49,C075,331,3,primitive_eligible,none,sparse,high,weak,high,short,low,high,6961579671346173765,7917470281789860898,6272898354584064999,9019027220356411773,9121831990312001136,8953346511641549384,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,4375//384,0//1,4375//384,1//2,1//1,3//1,0//1,0//1,0,5,0//1,zero,1//2,1//3,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
306,3,50,C080,336,3,primitive_eligible,none,dense,high,strong,high,short,low,high,7016167969240670357,4284111423663732329,2158879238903114307,5595530140074948247,6009130831894683565,12335458323203301975,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,4725//256,0//1,4725//256,3//4,1//1,3//1,0//1,0//1,0,5,0//1,zero,1//3,1//6,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
307,3,51,C001,257,3,primitive_eligible,none,sparse,low,weak,low,short,low,low,7180724180909959712,256778608170528763,8658611518066435417,951278265333745596,7801163090887537034,17203419818577871115,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,2975//256,10859//16384,201259//16384,1//2,0//1,14//3,10859//16384,0//1,1,5,-3619//32768,substitution,1//2,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
