trial_id,seed,belief_count,strategy_count,module_count,module_overlap,actual_module_overlap,closure_structure,source_closure_size,frontier_density,actual_frontier_density,candidate_quality,actual_candidate_quality,generator_complementarity,research_cost,project_delay,admission_probability,regime_persistence,discount_factor,horizon,deletion_order,source_passive_value,source_research_option_premium,source_total_value,frontier_only_future_value_loss,frontier_only_total_dynamic_loss,active_carrier_count,operationally_redundant_carrier_count,dominated_generatively_valuable_count,dominated_generatively_valuable_fraction,dominated_generatively_valuable_conditional_fraction,frontier_closure_J,interaction_classification,genuine_closure_contrast,high_rich_value,high_poor_value,low_rich_value,low_poor_value,all_decomposition_gates,frontier_passive_gate,safe_value_gate,operational_budget_gate,generative_budget_gate,theorem_evidence,evidence_class
72,4291179923,2,5,5,low,1//6,identity,5,1//4,1//4,5//4,39//32,3,2//1,2,3//4,3//4,3//4,4,strategy_2;strategy_1;strategy_3;strategy_4,175//16,0//1,175//16,false,0//1,4,2,0,0//1,0//1,-2975//16384,substitution,true,175//16,175//16,1455//256,90145//16384,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
73,825689453,2,6,4,high,13//20,hierarchy,4,1//2,1//2,5//4,39//32,1,4//1,1,3//4,1//4,3//4,4,strategy_2;strategy_3;strategy_4;strategy_1;strategy_5,1225//128,0//1,1225//128,false,0//1,5,5,0,0//1,0//1,0//1,separable,false,1225//128,1225//128,1225//256,1225//256,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
74,539314596,2,4,4,medium,2//9,hierarchy,4,1//4,1//3,3//4,25//32,1,4//1,3,3//4,1//4,3//4,4,strategy_2;strategy_3;strategy_1,525//64,0//1,525//64,false,0//1,3,2,0,0//1,0//1,0//1,separable,true,525//64,525//64,525//128,525//128,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
75,3768205644,2,4,5,low,1//9,hierarchy,5,3//4,2//3,1//1,33//32,1,4//1,1,1//4,1//4,3//4,4,strategy_1;strategy_2;strategy_3,175//16,0//1,175//16,false,0//1,3,2,0,0//1,0//1,0//1,separable,true,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
76,2584182308,2,4,5,high,11//15,hierarchy,5,3//4,2//3,3//4,13//16,1,2//1,3,1//4,1//4,3//4,4,strategy_3;strategy_1;strategy_2,1225//128,0//1,1225//128,false,0//1,3,2,0,0//1,0//1,0//1,separable,true,1225//128,1225//128,1225//256,1225//256,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
77,2932867663,2,6,4,medium,13//30,identity,4,1//2,3//10,3//4,23//32,1,4//1,2,1//4,1//2,3//4,4,strategy_3;strategy_2;strategy_1;strategy_4;strategy_5,175//16,0//1,175//16,false,0//1,5,4,0,0//1,0//1,0//1,separable,true,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
78,2794576967,3,5,5,medium,13//30,identity,5,3//4,5//6,1//1,47//48,3,0//1,1,3//4,1//2,3//4,4,strategy_1;strategy_4;strategy_2;strategy_3,175//16,2055//8192,91655//8192,true,2055//8192,4,4,0,0//1,0//1,-22605//8192,substitution,true,91655//8192,175//16,17365//2048,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
79,2840295794,4,6,5,high,17//25,hierarchy,5,3//4,3//4,3//4,11//16,3,0//1,1,1//2,1//4,3//4,4,strategy_3;strategy_5;strategy_4;strategy_1;strategy_2,175//16,0//1,175//16,false,0//1,5,5,0,0//1,0//1,-417//1024,substitution,true,175//16,175//16,3397//512,6377//1024,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
80,2439333323,2,5,5,high,2//3,hierarchy,5,3//4,1//1,1//1,1//1,1,0//1,1,1//4,3//4,3//4,4,strategy_2;strategy_1;strategy_3;strategy_4,175//16,2775//16384,181975//16384,false,0//1,4,4,0,0//1,0//1,0//1,separable,false,181975//16384,181975//16384,114575//16384,114575//16384,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
81,2888067558,4,6,4,medium,3//10,identity,4,1//4,9//20,5//4,251//192,1,0//1,1,3//4,1//4,3//4,4,strategy_5;strategy_4;strategy_2;strategy_3;strategy_1,2275//256,117135//65536,699535//65536,true,18495//32768,5,4,0,0//1,0//1,0//1,separable,true,699535//65536,662545//65536,568625//65536,531635//65536,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
82,1845347260,2,5,5,high,4//5,identity,5,1//2,5//8,1//1,1//1,1,4//1,2,1//2,1//4,3//4,4,strategy_4;strategy_1;strategy_3;strategy_2,175//16,0//1,175//16,false,0//1,4,4,0,0//1,0//1,0//1,separable,true,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
83,2351068458,2,6,5,medium,43//100,blocks,5,1//2,1//2,3//4,25//32,2,2//1,2,3//4,3//4,3//4,4,strategy_3;strategy_5;strategy_4;strategy_1;strategy_2,175//16,0//1,175//16,false,0//1,5,4,0,0//1,0//1,0//1,separable,true,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
84,2641297552,2,5,4,medium,1//3,identity,4,1//2,5//8,5//4,19//16,2,4//1,2,1//4,3//4,3//4,4,strategy_1;strategy_2;strategy_3;strategy_4,175//16,0//1,175//16,false,0//1,4,4,0,0//1,0//1,0//1,separable,true,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
85,1476252316,4,5,3,low,1//6,hierarchy,3,3//4,5//8,5//4,77//64,2,4//1,3,1//2,3//4,3//4,4,strategy_1;strategy_4;strategy_2;strategy_3,175//16,0//1,175//16,false,0//1,4,3,0,0//1,0//1,0//1,separable,false,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
86,142396705,2,5,5,low,1//6,blocks,5,1//4,1//4,1//1,17//16,3,0//1,3,1//4,1//4,3//4,4,strategy_1;strategy_2;strategy_4;strategy_3,175//16,27//512,5627//512,false,0//1,4,3,0,0//1,0//1,0//1,separable,true,5627//512,5627//512,2935//512,2935//512,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
87,4030263700,3,5,3,medium,4//9,hierarchy,3,1//4,1//2,3//4,17//24,1,2//1,3,3//4,3//4,3//4,4,strategy_1;strategy_4;strategy_3;strategy_2,1925//192,0//1,1925//192,false,0//1,4,3,0,0//1,0//1,0//1,separable,false,1925//192,1925//192,1925//384,1925//384,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
88,131956035,4,5,4,medium,7//18,hierarchy,4,3//4,3//4,5//4,77//64,1,4//1,3,1//2,1//4,3//4,4,strategy_1;strategy_3;strategy_4;strategy_2,175//16,0//1,175//16,false,0//1,4,4,0,0//1,0//1,0//1,separable,false,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
89,2678413655,2,4,3,high,5//9,hierarchy,3,1//2,1//2,3//4,25//32,2,4//1,1,1//4,1//4,3//4,4,strategy_3;strategy_1;strategy_2,175//16,0//1,175//16,false,0//1,3,2,0,0//1,0//1,0//1,separable,true,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
90,1137937621,3,5,3,high,2//3,blocks,3,1//4,1//4,1//1,25//24,3,2//1,2,1//2,3//4,3//4,4,strategy_2;strategy_4;strategy_1;strategy_3,175//16,0//1,175//16,false,0//1,4,2,0,0//1,0//1,0//1,separable,false,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
