benchmark,source_size,retained_size,removed_count,compression_ratio,retained_ids,epsilon_operational,epsilon_generative,operational_loss,operating_value_loss,generative_loss,value_loss,operational_loss_decimal,operating_value_loss_decimal,generative_loss_decimal,value_loss_decimal,feasible,pareto,decomposition_gate,theorem_evidence
expanded,8,6,2,1//4,inactive;strategy_2;strategy_3;strategy_4;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,6,2,1//4,inactive;strategy_2;strategy_3;strategy_5;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,6,2,1//4,inactive;strategy_2;strategy_4;strategy_5;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,6,2,1//4,inactive;strategy_3;strategy_4;strategy_5;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,6,2,1//4,inactive;strategy_1;strategy_2;strategy_3;strategy_4;candidate_1,1//1,1//4,1//2,2025//8192,-2025//32768,6075//32768,0.5000000000,0.2471923828,-0.0617980957,0.1853942871,true,false,true,false
expanded,8,6,2,1//4,inactive;strategy_1;strategy_2;strategy_3;strategy_5;candidate_1,1//1,1//4,1//2,2025//8192,-2025//32768,6075//32768,0.5000000000,0.2471923828,-0.0617980957,0.1853942871,true,false,true,false
expanded,8,6,2,1//4,inactive;strategy_1;strategy_2;strategy_4;strategy_5;candidate_1,1//1,1//4,1//2,2025//8192,-2025//32768,6075//32768,0.5000000000,0.2471923828,-0.0617980957,0.1853942871,true,false,true,false
expanded,8,6,2,1//4,inactive;strategy_1;strategy_3;strategy_4;strategy_5;candidate_1,1//1,1//4,1//2,2025//8192,-2025//32768,6075//32768,0.5000000000,0.2471923828,-0.0617980957,0.1853942871,true,false,true,false
expanded,8,6,2,1//4,inactive;strategy_2;strategy_3;strategy_4;strategy_5;candidate_1,1//1,1//4,1//2,2025//8192,0//1,2025//8192,0.5000000000,0.2471923828,0.0000000000,0.2471923828,true,false,true,false
expanded,8,6,2,1//4,inactive;strategy_1;strategy_2;strategy_3;strategy_4;candidate_2,1//1,1//4,1//1,11857//8192,-2385//32768,45043//32768,1.0000000000,1.4473876953,-0.0727844238,1.3746032715,true,false,true,false
expanded,8,6,2,1//4,inactive;strategy_1;strategy_2;strategy_3;strategy_5;candidate_2,1//1,1//4,1//1,11857//8192,-2385//32768,45043//32768,1.0000000000,1.4473876953,-0.0727844238,1.3746032715,true,false,true,false
expanded,8,6,2,1//4,inactive;strategy_1;strategy_2;strategy_4;strategy_5;candidate_2,1//1,1//4,1//1,11857//8192,-2385//32768,45043//32768,1.0000000000,1.4473876953,-0.0727844238,1.3746032715,true,false,true,false
expanded,8,6,2,1//4,inactive;strategy_1;strategy_3;strategy_4;strategy_5;candidate_2,1//1,1//4,1//1,11857//8192,-2385//32768,45043//32768,1.0000000000,1.4473876953,-0.0727844238,1.3746032715,true,false,true,false
expanded,8,6,2,1//4,inactive;strategy_2;strategy_3;strategy_4;strategy_5;candidate_2,1//1,1//4,1//1,11857//8192,-2385//32768,45043//32768,1.0000000000,1.4473876953,-0.0727844238,1.3746032715,true,false,true,false
expanded,8,6,2,1//4,inactive;strategy_1;strategy_2;strategy_3;strategy_4;strategy_5,1//1,1//4,3//2,525//128,-10071//32768,124329//32768,1.5000000000,4.1015625000,-0.3073425293,3.7942199707,false,false,true,false
expanded,8,7,1,1//8,inactive;strategy_1;strategy_2;strategy_3;strategy_4;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,7,1,1//8,inactive;strategy_1;strategy_2;strategy_3;strategy_5;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,7,1,1//8,inactive;strategy_1;strategy_2;strategy_4;strategy_5;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,7,1,1//8,inactive;strategy_1;strategy_3;strategy_4;strategy_5;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,7,1,1//8,inactive;strategy_2;strategy_3;strategy_4;strategy_5;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
expanded,8,7,1,1//8,inactive;strategy_1;strategy_2;strategy_3;strategy_4;strategy_5;candidate_1,1//1,1//4,1//2,2025//8192,-2025//32768,6075//32768,0.5000000000,0.2471923828,-0.0617980957,0.1853942871,true,false,true,false
expanded,8,7,1,1//8,inactive;strategy_1;strategy_2;strategy_3;strategy_4;strategy_5;candidate_2,1//1,1//4,1//1,11857//8192,-2385//32768,45043//32768,1.0000000000,1.4473876953,-0.0727844238,1.3746032715,true,false,true,false
expanded,8,8,0,0//1,inactive;strategy_1;strategy_2;strategy_3;strategy_4;strategy_5;candidate_1;candidate_2,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
