trial_id,breakpoint_index,lambda,strictly_positive,optimal_net_value,optimal_masks,optimal_library_ids,optimal_burdens,optimizer_count,pairwise_candidates_checked,enumeration_certificate
236,2,1225//1536,true,16625//1536,20;22,base_3;frontier_addition;inactive|base_2;base_3;frontier_addition;inactive,5//1;9//1,2,125,complete-enumeration:32
236,3,4375//3072,true,7875//1024,16;20,frontier_addition;inactive|base_3;frontier_addition;inactive,1//1;5//1,2,125,complete-enumeration:32
236,4,875//96,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,125,complete-enumeration:32
237,1,0//1,false,758227//49152,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1,4,153,complete-enumeration:32
237,2,254227//196608,true,1761773//196608,16;25,frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive,1//1;5//1,2,153,complete-enumeration:32
237,3,2625//256,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,153,complete-enumeration:32
238,1,0//1,false,9275//768,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,3//1;5//1;6//1;7//1;8//1;10//1,8,82,complete-enumeration:32
238,2,1225//1536,true,14875//1536,16;17,frontier_addition;inactive|base_1;frontier_addition;inactive,1//1;3//1,2,82,complete-enumeration:32
238,3,4025//384,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,82,complete-enumeration:32
239,1,0//1,false,2447//128,30;31,base_2;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,12//1;16//1,2,323,complete-enumeration:32
239,2,169//768,true,2109//128,22;30,base_2;base_3;frontier_addition;inactive|base_2;base_3;closure_carrier;frontier_addition;inactive,9//1;12//1,2,323,complete-enumeration:32
239,3,175//192,true,2625//256,18;22,base_2;frontier_addition;inactive|base_2;base_3;frontier_addition;inactive,5//1;9//1,2,323,complete-enumeration:32
239,4,4375//3072,true,7875//1024,16;18,frontier_addition;inactive|base_2;frontier_addition;inactive,1//1;5//1,2,323,complete-enumeration:32
239,5,875//96,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,323,complete-enumeration:32
240,1,0//1,false,13825//768,22;23;30;31,base_2;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_2;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;8//1;10//1,4,132,complete-enumeration:32
240,2,1225//768,true,1925//192,18;22,base_2;frontier_addition;inactive|base_2;base_3;frontier_addition;inactive,3//1;5//1,2,132,complete-enumeration:32
240,3,1225//384,true,4025//768,16;18,frontier_addition;inactive|base_2;frontier_addition;inactive,1//1;3//1,2,132,complete-enumeration:32
240,4,6475//768,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,132,complete-enumeration:32
241,1,0//1,false,9275//768,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,3//1;5//1;7//1;9//1,8,87,complete-enumeration:32
241,2,175//256,true,1925//192,16;17,frontier_addition;inactive|base_1;frontier_addition;inactive,1//1;3//1,2,87,complete-enumeration:32
241,3,8225//768,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,87,complete-enumeration:32
242,1,0//1,false,63793//3072,30;31,base_2;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,7//1;9//1,2,313,complete-enumeration:32
242,2,2131//2048,true,82835//6144,22;30,base_2;base_3;frontier_addition;inactive|base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1,2,313,complete-enumeration:32
242,3,875//512,true,15575//1536,20;22,base_3;frontier_addition;inactive|base_2;base_3;frontier_addition;inactive,3//1;5//1,2,313,complete-enumeration:32
242,4,2275//768,true,1225//192,16;20,frontier_addition;inactive|base_3;frontier_addition;inactive,1//1;3//1,2,313,complete-enumeration:32
242,5,7175//768,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,313,complete-enumeration:32
243,1,0//1,false,769589//49152,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6//1;8//1;10//1,4,154,complete-enumeration:32
243,2,287989//245760,true,2120011//245760,16;25,frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive,1//1;6//1,2,154,complete-enumeration:32
243,3,7525//768,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,154,complete-enumeration:32
244,1,0//1,false,55777//4096,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1,4,147,complete-enumeration:32
244,2,3659//4096,true,18741//2048,1;25,base_1;inactive|base_1;closure_carrier;frontier_addition;inactive,2//1;5//1,2,147,complete-enumeration:32
244,3,875//768,true,3325//384,1;16,base_1;inactive|frontier_addition;inactive,1//1;2//1,2,147,complete-enumeration:32
244,4,7525//768,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,147,complete-enumeration:32
245,1,0//1,false,262481//12288,29;31,base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,8//1;10//1,2,262,complete-enumeration:32
245,2,10027//12288,true,60755//4096,21;29,base_1;base_3;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive,5//1;8//1,2,262,complete-enumeration:32
245,3,175//96,true,7525//768,17;21,base_1;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive,3//1;5//1,2,262,complete-enumeration:32
245,4,4375//1536,true,10325//1536,16;17,frontier_addition;inactive|base_1;frontier_addition;inactive,1//1;3//1,2,262,complete-enumeration:32
245,5,1225//128,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,262,complete-enumeration:32
246,1,0//1,false,4593//256,30;31,base_2;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,11//1;15//1,2,302,complete-enumeration:32
246,2,43//512,true,8713//512,22;30,base_2;base_3;frontier_addition;inactive|base_2;base_3;closure_carrier;frontier_addition;inactive,9//1;11//1,2,302,complete-enumeration:32
246,3,1225//1536,true,5425//512,20;22,base_3;frontier_addition;inactive|base_2;base_3;frontier_addition;inactive,5//1;9//1,2,302,complete-enumeration:32
246,4,2275//1536,true,3675//512,16;20,frontier_addition;inactive|base_3;frontier_addition;inactive,1//1;5//1,2,302,complete-enumeration:32
246,5,3325//384,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,302,complete-enumeration:32
247,1,0//1,false,9275//768,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,3//1;5//1;7//1;9//1,8,57,complete-enumeration:32
247,2,1225//1536,true,14875//1536,16;17,frontier_addition;inactive|base_1;frontier_addition;inactive,1//1;3//1,2,57,complete-enumeration:32
247,3,4025//384,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,57,complete-enumeration:32
248,1,0//1,false,13825//768,19;23;27;31,base_1;base_2;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;8//1;10//1,4,136,complete-enumeration:32
248,2,875//512,true,14525//1536,17;19,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive,3//1;5//1,2,136,complete-enumeration:32
248,3,4375//1536,true,9275//1536,16;17,frontier_addition;inactive|base_1;frontier_addition;inactive,1//1;3//1,2,136,complete-enumeration:32
248,4,2275//256,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,136,complete-enumeration:32
249,1,0//1,false,100931//6144,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1,4,154,complete-enumeration:32
249,2,39331//24576,true,69023//8192,16;25,frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive,1//1;5//1,2,154,complete-enumeration:32
249,3,1925//192,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,154,complete-enumeration:32
250,1,0//1,false,208703//12288,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,7//1;11//1;15//1,4,152,complete-enumeration:32
250,2,149761//196608,true,2290921//196608,24;25,closure_carrier;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive,3//1;7//1,2,152,complete-enumeration:32
250,3,56617//32768,true,860549//98304,16;24,frontier_addition;inactive|closure_carrier;frontier_addition;inactive,1//1;3//1,2,152,complete-enumeration:32
250,4,4025//384,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,152,complete-enumeration:32
251,1,0//1,false,4725//256,21;23;29;31,base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;8//1;10//1,4,168,complete-enumeration:32
251,2,875//512,true,5075//512,20;21,base_3;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive,3//1;5//1,2,168,complete-enumeration:32
251,3,1575//512,true,2975//512,16;20,frontier_addition;inactive|base_3;frontier_addition;inactive,1//1;3//1,2,168,complete-enumeration:32
251,4,2275//256,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,168,complete-enumeration:32
252,1,0//1,false,71917//3072,27;31,base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,8//1;10//1,2,291,complete-enumeration:32
252,2,139279//98304,true,49463//4096,24;27,closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive,4//1;8//1,2,291,complete-enumeration:32
252,3,45315//16384,true,164167//24576,8;24,closure_carrier;inactive|closure_carrier;frontier_addition;inactive,3//1;4//1,2,291,complete-enumeration:32
252,4,299369//98304,true,574231//98304,8;16,closure_carrier;inactive|frontier_addition;inactive,1//1;3//1,2,291,complete-enumeration:32
252,5,2275//256,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,291,complete-enumeration:32
253,1,0//1,false,1575//128,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;8//1;9//1;12//1;13//1;16//1,8,119,complete-enumeration:32
253,2,875//1536,true,14525//1536,16;17,frontier_addition;inactive|base_1;frontier_addition;inactive,1//1;5//1,2,119,complete-enumeration:32
253,3,1925//192,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,119,complete-enumeration:32
254,1,0//1,false,178481//12288,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,7//1;11//1;15//1,4,154,complete-enumeration:32
254,2,46977//65536,true,1869179//196608,24;25,closure_carrier;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive,3//1;7//1,2,154,complete-enumeration:32
254,3,26731//32768,true,905407//98304,16;24,frontier_addition;inactive|closure_carrier;frontier_addition;inactive,1//1;3//1,2,154,complete-enumeration:32
254,4,1925//192,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,154,complete-enumeration:32
255,1,0//1,false,10097//512,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,7//1;11//1;15//1,4,139,complete-enumeration:32
255,2,38699//49152,true,698419//49152,24;25,closure_carrier;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive,3//1;7//1,2,139,complete-enumeration:32
255,3,24943//8192,true,182771//24576,16;24,frontier_addition;inactive|closure_carrier;frontier_addition;inactive,1//1;3//1,2,139,complete-enumeration:32
255,4,4025//384,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,139,complete-enumeration:32
256,1,0//1,false,1237//64,27;31,base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,7//1;9//1,2,203,complete-enumeration:32
256,2,223//512,true,8335//512,19;27,base_1;base_2;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive,5//1;7//1,2,203,complete-enumeration:32
256,3,875//512,true,5075//512,18;19,base_2;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive,3//1;5//1,2,203,complete-enumeration:32
256,4,175//64,true,875//128,16;18,frontier_addition;inactive|base_2;frontier_addition;inactive,1//1;3//1,2,203,complete-enumeration:32
256,5,1225//128,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,203,complete-enumeration:32
257,1,0//1,false,1575//128,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,3//1;5//1;6//1;7//1;8//1;10//1,8,110,complete-enumeration:32
257,2,1225//1536,true,5075//512,16;17,frontier_addition;inactive|base_1;frontier_addition;inactive,1//1;3//1,2,110,complete-enumeration:32
257,3,8225//768,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,110,complete-enumeration:32
258,1,0//1,false,1575//128,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,3//1;5//1;6//1;7//1;8//1;10//1,8,99,complete-enumeration:32
258,2,175//192,true,1225//128,1;17,base_1;inactive|base_1;frontier_addition;inactive,2//1;3//1,2,99,complete-enumeration:32
258,3,1225//768,true,525//64,1;16,base_1;inactive|frontier_addition;inactive,1//1;2//1,2,99,complete-enumeration:32
258,4,7525//768,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,99,complete-enumeration:32
259,1,0//1,false,9275//768,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,3//1;5//1;6//1;7//1;8//1;10//1,8,100,complete-enumeration:32
259,2,175//192,true,7175//768,16;17,frontier_addition;inactive|base_1;frontier_addition;inactive,1//1;3//1,2,100,complete-enumeration:32
259,3,2625//256,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,100,complete-enumeration:32
260,1,0//1,false,875//48,22;23;30;31,base_2;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_2;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,9//1;12//1;13//1;16//1,4,328,complete-enumeration:32
260,2,1225//1536,true,16975//1536,20;22,base_3;frontier_addition;inactive|base_2;base_3;frontier_addition;inactive,5//1;9//1,2,328,complete-enumeration:32
260,3,1575//1024,true,7525//1024,16;20,frontier_addition;inactive|base_3;frontier_addition;inactive,1//1;5//1,2,328,complete-enumeration:32
260,4,2275//256,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,328,complete-enumeration:32
261,1,0//1,false,449447//24576,29;31,base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,7//1;9//1,2,269,complete-enumeration:32
261,2,1447//49152,true,296255//16384,21;29,base_1;base_3;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1,2,269,complete-enumeration:32
261,3,175//96,true,875//96,17;20;21,base_1;frontier_addition;inactive|base_3;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive,3//1;5//1,3,269,complete-enumeration:32
261,4,175//64,true,1225//192,16;17;20,frontier_addition;inactive|base_1;frontier_addition;inactive|base_3;frontier_addition;inactive,1//1;3//1,3,269,complete-enumeration:32
261,5,875//96,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,269,complete-enumeration:32
262,1,0//1,false,13825//768,22;23;30;31,base_2;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_2;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;8//1;10//1,4,160,complete-enumeration:32
262,2,1225//768,true,1925//192,18;20;22,base_2;frontier_addition;inactive|base_3;frontier_addition;inactive|base_2;base_3;frontier_addition;inactive,3//1;5//1,3,160,complete-enumeration:32
262,3,4025//1536,true,10675//1536,16;18;20,frontier_addition;inactive|base_2;frontier_addition;inactive|base_3;frontier_addition;inactive,1//1;3//1,3,160,complete-enumeration:32
262,4,1225//128,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,160,complete-enumeration:32
263,1,0//1,false,13717//1024,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,8//1;12//1;16//1,4,153,complete-enumeration:32
263,2,6377//24576,true,17387//1536,24;25,closure_carrier;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive,4//1;8//1,2,153,complete-enumeration:32
263,3,4775//6144,true,56825//6144,16;24,frontier_addition;inactive|closure_carrier;frontier_addition;inactive,1//1;4//1,2,153,complete-enumeration:32
263,4,1925//192,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,153,complete-enumeration:32
264,1,0//1,false,9377//768,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,7//1;11//1;15//1,4,152,complete-enumeration:32
264,2,17//256,true,2255//192,17;25,base_1;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive,5//1;7//1,2,152,complete-enumeration:32
264,3,525//1024,true,29225//3072,16;17,frontier_addition;inactive|base_1;frontier_addition;inactive,1//1;5//1,2,152,complete-enumeration:32
264,4,1925//192,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,152,complete-enumeration:32
265,1,0//1,false,13577//768,30;31,base_2;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,8//1;10//1,2,247,complete-enumeration:32
265,2,17//384,true,4435//256,22;30,base_2;base_3;frontier_addition;inactive|base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;8//1,2,247,complete-enumeration:32
265,3,875//512,true,13825//1536,18;20;22,base_2;frontier_addition;inactive|base_3;frontier_addition;inactive|base_2;base_3;frontier_addition;inactive,3//1;5//1,3,247,complete-enumeration:32
265,4,175//64,true,2275//384,16;18;20,frontier_addition;inactive|base_2;frontier_addition;inactive|base_3;frontier_addition;inactive,1//1;3//1,3,247,complete-enumeration:32
265,5,3325//384,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,247,complete-enumeration:32
266,1,0//1,false,13825//768,21;23;29;31,base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;7//1;9//1,4,105,complete-enumeration:32
266,2,175//96,true,2275//256,20;21,base_3;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive,3//1;5//1,2,105,complete-enumeration:32
266,3,4375//1536,true,2975//512,16;20,frontier_addition;inactive|base_3;frontier_addition;inactive,1//1;3//1,2,105,complete-enumeration:32
266,4,3325//384,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,105,complete-enumeration:32
267,1,0//1,false,7175//384,22;23;30;31,base_2;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_2;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,9//1;11//1;13//1;15//1,4,302,complete-enumeration:32
267,2,2975//3072,true,30625//3072,20;22,base_3;frontier_addition;inactive|base_2;base_3;frontier_addition;inactive,5//1;9//1,2,302,complete-enumeration:32
267,3,2275//1536,true,11375//1536,16;20,frontier_addition;inactive|base_3;frontier_addition;inactive,1//1;5//1,2,302,complete-enumeration:32
267,4,2275//256,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,302,complete-enumeration:32
268,1,0//1,false,626177//49152,25;27;29;31,base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,7//1;11//1;15//1,4,150,complete-enumeration:32
268,2,10859//32768,true,1024315//98304,17;25,base_1;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive,5//1;7//1,2,150,complete-enumeration:32
268,3,29345//65536,true,1934225//196608,17;24,base_1;frontier_addition;inactive|closure_carrier;frontier_addition;inactive,3//1;5//1,2,150,complete-enumeration:32
268,4,37855//65536,true,1857635//196608,16;24,frontier_addition;inactive|closure_carrier;frontier_addition;inactive,1//1;3//1,2,150,complete-enumeration:32
268,5,1925//192,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,150,complete-enumeration:32
269,1,0//1,false,875//48,21;23;29;31,base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,9//1;12//1;13//1;16//1,4,185,complete-enumeration:32
269,2,175//192,true,1925//192,17;20;21,base_1;frontier_addition;inactive|base_3;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive,5//1;9//1,3,185,complete-enumeration:32
269,3,175//128,true,2975//384,16;17;20,frontier_addition;inactive|base_1;frontier_addition;inactive|base_3;frontier_addition;inactive,1//1;5//1,3,185,complete-enumeration:32
269,4,875//96,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,185,complete-enumeration:32
270,1,0//1,false,252913//12288,29;31,base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,12//1;16//1,2,211,complete-enumeration:32
270,2,5035//12288,true,192493//12288,28;29,base_3;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive,8//1;12//1,2,211,complete-enumeration:32
270,3,125875//196608,true,339671//24576,24;28,closure_carrier;frontier_addition;inactive|base_3;closure_carrier;frontier_addition;inactive,4//1;8//1,2,211,complete-enumeration:32
270,4,115339//49152,true,343861//49152,16;24,frontier_addition;inactive|closure_carrier;frontier_addition;inactive,1//1;4//1,2,211,complete-enumeration:32
270,5,7175//768,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,211,complete-enumeration:32
271,1,0//1,false,80121//4096,30;31,base_2;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,12//1;16//1,2,304,complete-enumeration:32
271,2,1507//4096,true,62037//4096,22;30,base_2;base_3;frontier_addition;inactive|base_2;base_3;closure_carrier;frontier_addition;inactive,9//1;12//1,2,304,complete-enumeration:32
271,3,30505//65536,true,935055//65536,22;26,base_2;base_3;frontier_addition;inactive|base_2;closure_carrier;frontier_addition;inactive,8//1;9//1,2,304,complete-enumeration:32
271,4,161411//262144,true,856273//65536,24;26,closure_carrier;frontier_addition;inactive|base_2;closure_carrier;frontier_addition;inactive,4//1;8//1,2,304,complete-enumeration:32
271,5,304063//147456,true,1073537//147456,16;24,frontier_addition;inactive|closure_carrier;frontier_addition;inactive,1//1;4//1,2,304,complete-enumeration:32
271,6,7175//768,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,304,complete-enumeration:32
272,1,0//1,false,2975//256,17;19;21;23;25;27;29;31,base_1;frontier_addition;inactive|base_1;base_2;frontier_addition;inactive|base_1;base_3;frontier_addition;inactive|base_1;base_2;base_3;frontier_addition;inactive|base_1;closure_carrier;frontier_addition;inactive|base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;8//1;9//1;12//1;13//1;16//1,8,97,complete-enumeration:32
272,2,1225//3072,true,29575//3072,16;17,frontier_addition;inactive|base_1;frontier_addition;inactive,1//1;5//1,2,97,complete-enumeration:32
272,3,1925//192,true,0//1,0;16,inactive|frontier_addition;inactive,0//1;1//1,2,97,complete-enumeration:32
273,1,0//1,false,1751//96,30;31,base_2;base_3;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,8//1;10//1,2,243,complete-enumeration:32
273,2,61//768,true,845//48,22;30,base_2;base_3;frontier_addition;inactive|base_2;base_3;closure_carrier;frontier_addition;inactive,5//1;8//1,2,243,complete-enumeration:32
273,3,175//96,true,2275//256,20;22,base_3;frontier_addition;inactive|base_2;base_3;frontier_addition;inactive,3//1;5//1,2,243,complete-enumeration:32
